from_id,to_id
1597,ECI3157
1604,ECI3004
1611,ECI3011
1618,ECI3018
1625,ECI3025
1632,ECI3032
1639,ECI3039
1646,ECI3046
1653,ECI3053
1660,ECI3060
1667,ECI3067
1674,ECI3074
1681,ECI3081
1688,ECI3088
1695,ECI3095
1702,ECI3102
1709,ECI3109
1716,ECI3116
1723,ECI3123
1730,ECI3130
1737,ECI3137
1744,ECI3144
1751,ECI3151
1758,ECI3158
1765,ECI3005
1772,ECI3012
1779,ECI3019
1786,ECI3026
1793,ECI3033
1800,ECI3040
1807,ECI3047
1814,ECI3054
1821,ECI3061
1828,ECI3068
1835,ECI3075
1842,ECI3082
1849,ECI3089
1856,ECI3096
1863,ECI3103
1870,ECI3110
1877,ECI3117
1884,ECI3124
1891,ECI3131
1898,ECI3138
1905,ECI3145
1912,ECI3152
1919,ECI3159
1926,ECI3006
1933,ECI3013
1940,ECI3020
1947,ECI3027
1954,ECI3034
1961,ECI3041
1968,ECI3048
1975,ECI3055
1982,ECI3062
1989,ECI3069
1996,ECI3076
2003,ECI3083
2010,ECI3090
2017,ECI3097
2024,ECI3104
2031,ECI3111
2038,ECI3118
2045,ECI3125
2052,ECI3132
2059,ECI3139
2066,ECI3146
2073,ECI3153
2080,ECI3000
2087,ECI3007
2094,ECI3014
2101,ECI3021
2108,ECI3028
2115,ECI3035
2122,ECI3042
2129,ECI3049
2136,ECI3056
2143,ECI3063
2150,ECI3070
2157,ECI3077
2164,ECI3084
2171,ECI3091
2178,ECI3098
2185,ECI3105
2192,ECI3112
2199,ECI3119
2206,ECI3126
2213,ECI3133
2220,ECI3140
2227,ECI3147
2234,ECI3154
2241,ECI3001
2248,ECI3008
2255,ECI3015
2262,ECI3022
2269,ECI3029
2276,ECI3036
2283,ECI3043
2290,ECI3050
2297,ECI3057
2304,ECI3064
2311,ECI3071
2318,ECI3078
2325,ECI3085
2332,ECI3092
2339,ECI3099
2346,ECI3106
2353,ECI3113
2360,ECI3120
2367,ECI3127
2374,ECI3134
2381,ECI3141
2388,ECI3148
2395,ECI3155
2402,ECI3002
2409,ECI3009
2416,ECI3016
2423,ECI3023
2430,ECI3030
2437,ECI3037
2444,ECI3044
2451,ECI3051
2458,ECI3058
2465,ECI3065
2472,ECI3072
2479,ECI3079
2486,ECI3086
2493,ECI3093
2500,ECI3100
2507,ECI3107
2514,ECI3114
2521,ECI3121
2528,ECI3128
2535,ECI3135
2542,ECI3142
2549,ECI3149
2556,ECI3156
2563,ECI3003
2570,ECI3010
2577,ECI3017
2584,ECI3024
2591,ECI3031
2598,ECI3038
2605,ECI3045
2612,ECI3052
2619,ECI3059
2626,ECI3066
2633,ECI3073
2640,ECI3080
2647,ECI3087
2654,ECI3094
2661,ECI3101
2668,ECI3108
2675,ECI3115
2682,ECI3122
2689,ECI3129
2696,ECI3136
2703,ECI3143
2710,ECI3150
2717,ECI3157
2724,ECI3004
2731,ECI3011
2738,ECI3018
2745,ECI3025
2752,ECI3032
2759,ECI3039
2766,ECI3046
2773,ECI3053
2780,ECI3060
2787,ECI3067
2794,ECI3074
2801,ECI3081
2808,ECI3088
2815,ECI3095
2822,ECI3102
2829,ECI3109
2836,ECI3116
2843,ECI3123
2850,ECI3130
2857,ECI3137
2864,ECI3144
2871,ECI3151
2878,ECI3158
2885,ECI3005
2892,ECI3012
2899,ECI3019
2906,ECI3026
2913,ECI3033
2920,ECI3040
2927,ECI3047
2934,ECI3054
2941,ECI3061
2948,ECI3068
2955,ECI3075
2962,ECI3082
2969,ECI3089
2976,ECI3096
2983,ECI3103
2990,ECI3110
2997,ECI3117
3004,ECI3124
3011,ECI3131
3018,ECI3138
3025,ECI3145
3032,ECI3152
3039,ECI3159
3046,ECI3006
3053,ECI3013
3060,ECI3020
3067,ECI3027
3074,ECI3034
3081,ECI3041
3088,ECI3048
3095,ECI3055
3102,ECI3062
3109,ECI3069
3116,ECI3076
3123,ECI3083
