from_id,to_id
1597,RPG000
1604,RPG001
1611,RPG002
1625,RPG004
1632,RPG005
1653,RPG008
1674,RPG004
1681,RPG005
1716,RPG010
1730,RPG012
1751,RPG008
1779,RPG012
1807,RPG009
1814,RPG010
1849,RPG015
1877,RPG012
1898,RPG015
1905,RPG016
1912,RPG017
1975,RPG019
1982,RPG020
1989,RPG021
1996,RPG022
2003,RPG023
2010,RPG024
2031,RPG020
2038,RPG021
2052,RPG023
2059,RPG024
2066,RPG025
2073,RPG026
2080,RPG027
2087,RPG021
2108,RPG024
2122,RPG026
2129,RPG027
2143,RPG001
2150,RPG002
2157,RPG024
2164,RPG025
2178,RPG027
2185,RPG000
2199,RPG002
2220,RPG005
2234,RPG000
2241,RPG001
2248,RPG002
2262,RPG004
2269,RPG005
2283,RPG007
2297,RPG002
2325,RPG006
2332,RPG007
2339,RPG008
2360,RPG011
2367,RPG005
2374,RPG006
2395,RPG009
2409,RPG011
2423,RPG013
2430,RPG014
2451,RPG010
2458,RPG011
2472,RPG013
2479,RPG014
2486,RPG015
2500,RPG017
2507,RPG011
2514,RPG012
2542,RPG016
2549,RPG017
2570,RPG020
2626,RPG021
2633,RPG022
2647,RPG017
2661,RPG019
2682,RPG022
2696,RPG024
2703,RPG025
2717,RPG020
2738,RPG023
2745,RPG024
2752,RPG025
2759,RPG026
2808,RPG026
2822,RPG000
2836,RPG002
2850,RPG004
2857,RPG026
2913,RPG006
2920,RPG007
2927,RPG001
2962,RPG006
2976,RPG008
3053,RPG900
3060,RPG900
3067,RPG900
3074,RPG900
3081,RPG900
3088,RPG900
3095,RPG901
3102,RPG901
3109,RPG901
3116,RPG901
3123,RPG901
