from_id,to_id
1597|V000001|202604,V000001
1597|V000001|202605,V000001
1597|V000001|202606,V000001
1604|V000001|202604,V000001
1604|V000001|202605,V000001
1604|V000001|202606,V000001
1611|V000001|202604,V000001
1611|V000001|202605,V000001
1611|V000001|202606,V000001
1618|V000001|202604,V000001
1618|V000001|202605,V000001
1618|V000001|202606,V000001
1625|V000001|202604,V000001
1625|V000001|202605,V000001
1625|V000001|202606,V000001
1632|V000001|202604,V000001
1632|V000001|202605,V000001
1632|V000001|202606,V000001
1639|V000001|202604,V000001
1639|V000001|202605,V000001
1639|V000001|202606,V000001
1646|V000001|202604,V000001
1646|V000001|202605,V000001
1646|V000001|202606,V000001
1653|V000001|202604,V000001
1653|V000001|202605,V000001
1653|V000001|202606,V000001
1660|V000001|202604,V000001
1660|V000001|202605,V000001
1660|V000001|202606,V000001
1667|V000002|202604,V000002
1667|V000002|202605,V000002
1667|V000002|202606,V000002
1674|V000002|202604,V000002
1674|V000002|202605,V000002
1674|V000002|202606,V000002
1681|V000002|202604,V000002
1681|V000002|202605,V000002
1681|V000002|202606,V000002
1688|V000002|202604,V000002
1688|V000002|202605,V000002
1688|V000002|202606,V000002
1695|V000002|202604,V000002
1695|V000002|202605,V000002
1695|V000002|202606,V000002
1702|V000002|202604,V000002
1702|V000002|202605,V000002
1702|V000002|202606,V000002
1709|V000002|202604,V000002
1709|V000002|202605,V000002
1709|V000002|202606,V000002
1716|V000002|202604,V000002
1716|V000002|202605,V000002
1716|V000002|202606,V000002
1723|V000002|202604,V000002
1723|V000002|202605,V000002
1723|V000002|202606,V000002
1730|V000002|202604,V000002
1730|V000002|202605,V000002
1730|V000002|202606,V000002
3053|V000002|202604,V000002
3053|V000002|202605,V000002
3053|V000002|202606,V000002
3060|V000002|202604,V000002
3060|V000002|202605,V000002
3060|V000002|202606,V000002
3067|V000002|202604,V000002
3067|V000002|202605,V000002
3067|V000002|202606,V000002
3074|V000002|202604,V000002
3074|V000002|202605,V000002
3074|V000002|202606,V000002
3081|V000002|202604,V000002
3081|V000002|202605,V000002
3081|V000002|202606,V000002
3088|V000002|202604,V000002
3088|V000002|202605,V000002
3088|V000002|202606,V000002
1737|V000003|202604,V000003
1737|V000003|202605,V000003
1737|V000003|202606,V000003
1744|V000003|202604,V000003
1744|V000003|202605,V000003
1744|V000003|202606,V000003
1751|V000003|202604,V000003
1751|V000003|202605,V000003
1751|V000003|202606,V000003
1758|V000003|202604,V000003
1758|V000003|202605,V000003
1758|V000003|202606,V000003
1765|V000003|202604,V000003
1765|V000003|202605,V000003
1765|V000003|202606,V000003
1772|V000003|202604,V000003
1772|V000003|202605,V000003
1772|V000003|202606,V000003
1779|V000003|202604,V000003
1779|V000003|202605,V000003
1779|V000003|202606,V000003
1786|V000003|202604,V000003
1786|V000003|202605,V000003
1786|V000003|202606,V000003
1793|V000003|202604,V000003
1793|V000003|202605,V000003
1793|V000003|202606,V000003
1800|V000003|202604,V000003
1800|V000003|202605,V000003
1800|V000003|202606,V000003
3095|V000003|202604,V000003
3095|V000003|202605,V000003
3095|V000003|202606,V000003
3102|V000003|202604,V000003
3102|V000003|202605,V000003
3102|V000003|202606,V000003
3109|V000003|202604,V000003
3109|V000003|202605,V000003
3109|V000003|202606,V000003
3116|V000003|202604,V000003
3116|V000003|202605,V000003
3116|V000003|202606,V000003
3123|V000003|202604,V000003
3123|V000003|202605,V000003
3123|V000003|202606,V000003
1807|V000004|202604,V000004
1807|V000004|202605,V000004
1807|V000004|202606,V000004
1814|V000004|202604,V000004
1814|V000004|202605,V000004
1814|V000004|202606,V000004
1821|V000004|202604,V000004
1821|V000004|202605,V000004
1821|V000004|202606,V000004
1828|V000004|202604,V000004
1828|V000004|202605,V000004
1828|V000004|202606,V000004
1835|V000004|202604,V000004
1835|V000004|202605,V000004
1835|V000004|202606,V000004
1842|V000004|202604,V000004
1842|V000004|202605,V000004
1842|V000004|202606,V000004
1849|V000004|202604,V000004
1849|V000004|202605,V000004
1849|V000004|202606,V000004
1856|V000004|202604,V000004
1856|V000004|202605,V000004
1856|V000004|202606,V000004
1863|V000004|202604,V000004
1863|V000004|202605,V000004
1863|V000004|202606,V000004
1870|V000004|202604,V000004
1870|V000004|202605,V000004
1870|V000004|202606,V000004
1877|V000005|202604,V000005
1877|V000005|202605,V000005
1877|V000005|202606,V000005
1884|V000005|202604,V000005
1884|V000005|202605,V000005
1884|V000005|202606,V000005
1891|V000005|202604,V000005
1891|V000005|202605,V000005
1891|V000005|202606,V000005
1898|V000005|202604,V000005
1898|V000005|202605,V000005
1898|V000005|202606,V000005
1905|V000005|202604,V000005
1905|V000005|202605,V000005
1905|V000005|202606,V000005
1912|V000005|202604,V000005
1912|V000005|202605,V000005
1912|V000005|202606,V000005
1919|V000005|202604,V000005
1919|V000005|202605,V000005
1919|V000005|202606,V000005
1926|V000005|202604,V000005
1926|V000005|202605,V000005
1926|V000005|202606,V000005
1933|V000005|202604,V000005
1933|V000005|202605,V000005
1933|V000005|202606,V000005
1940|V000005|202604,V000005
1940|V000005|202605,V000005
1940|V000005|202606,V000005
1947|V000006|202604,V000006
1947|V000006|202605,V000006
1947|V000006|202606,V000006
1954|V000006|202604,V000006
1954|V000006|202605,V000006
1954|V000006|202606,V000006
1961|V000006|202604,V000006
1961|V000006|202605,V000006
1961|V000006|202606,V000006
1968|V000006|202604,V000006
1968|V000006|202605,V000006
1968|V000006|202606,V000006
1975|V000006|202604,V000006
1975|V000006|202605,V000006
1975|V000006|202606,V000006
1982|V000006|202604,V000006
1982|V000006|202605,V000006
1982|V000006|202606,V000006
1989|V000006|202604,V000006
1989|V000006|202605,V000006
1989|V000006|202606,V000006
1996|V000006|202604,V000006
1996|V000006|202605,V000006
1996|V000006|202606,V000006
2003|V000006|202604,V000006
2003|V000006|202605,V000006
2003|V000006|202606,V000006
2010|V000006|202604,V000006
2010|V000006|202605,V000006
2010|V000006|202606,V000006
2017|V000007|202604,V000007
2017|V000007|202605,V000007
2017|V000007|202606,V000007
2024|V000007|202604,V000007
2024|V000007|202605,V000007
2024|V000007|202606,V000007
2031|V000007|202604,V000007
2031|V000007|202605,V000007
2031|V000007|202606,V000007
2038|V000007|202604,V000007
2038|V000007|202605,V000007
2038|V000007|202606,V000007
2045|V000007|202604,V000007
2045|V000007|202605,V000007
2045|V000007|202606,V000007
2052|V000007|202604,V000007
2052|V000007|202605,V000007
2052|V000007|202606,V000007
2059|V000007|202604,V000007
2059|V000007|202605,V000007
2059|V000007|202606,V000007
2066|V000007|202604,V000007
2066|V000007|202605,V000007
2066|V000007|202606,V000007
2073|V000007|202604,V000007
2073|V000007|202605,V000007
