from_id,to_id
1597|V000001|202604,1597
1597|V000001|202605,1597
1597|V000001|202606,1597
1604|V000001|202604,1604
1604|V000001|202605,1604
1604|V000001|202606,1604
1611|V000001|202604,1611
1611|V000001|202605,1611
1611|V000001|202606,1611
1618|V000001|202604,1618
1618|V000001|202605,1618
1618|V000001|202606,1618
1625|V000001|202604,1625
1625|V000001|202605,1625
1625|V000001|202606,1625
1632|V000001|202604,1632
1632|V000001|202605,1632
1632|V000001|202606,1632
1639|V000001|202604,1639
1639|V000001|202605,1639
1639|V000001|202606,1639
1646|V000001|202604,1646
1646|V000001|202605,1646
1646|V000001|202606,1646
1653|V000001|202604,1653
1653|V000001|202605,1653
1653|V000001|202606,1653
1660|V000001|202604,1660
1660|V000001|202605,1660
1660|V000001|202606,1660
1667|V000002|202604,1667
1667|V000002|202605,1667
1667|V000002|202606,1667
1674|V000002|202604,1674
1674|V000002|202605,1674
1674|V000002|202606,1674
1681|V000002|202604,1681
1681|V000002|202605,1681
1681|V000002|202606,1681
1688|V000002|202604,1688
1688|V000002|202605,1688
1688|V000002|202606,1688
1695|V000002|202604,1695
1695|V000002|202605,1695
1695|V000002|202606,1695
1702|V000002|202604,1702
1702|V000002|202605,1702
1702|V000002|202606,1702
1709|V000002|202604,1709
1709|V000002|202605,1709
1709|V000002|202606,1709
1716|V000002|202604,1716
1716|V000002|202605,1716
1716|V000002|202606,1716
1723|V000002|202604,1723
1723|V000002|202605,1723
1723|V000002|202606,1723
1730|V000002|202604,1730
1730|V000002|202605,1730
1730|V000002|202606,1730
3053|V000002|202604,3053
3053|V000002|202605,3053
3053|V000002|202606,3053
3060|V000002|202604,3060
3060|V000002|202605,3060
3060|V000002|202606,3060
3067|V000002|202604,3067
3067|V000002|202605,3067
3067|V000002|202606,3067
3074|V000002|202604,3074
3074|V000002|202605,3074
3074|V000002|202606,3074
3081|V000002|202604,3081
3081|V000002|202605,3081
3081|V000002|202606,3081
3088|V000002|202604,3088
3088|V000002|202605,3088
3088|V000002|202606,3088
1737|V000003|202604,1737
1737|V000003|202605,1737
1737|V000003|202606,1737
1744|V000003|202604,1744
1744|V000003|202605,1744
1744|V000003|202606,1744
1751|V000003|202604,1751
1751|V000003|202605,1751
1751|V000003|202606,1751
1758|V000003|202604,1758
1758|V000003|202605,1758
1758|V000003|202606,1758
1765|V000003|202604,1765
1765|V000003|202605,1765
1765|V000003|202606,1765
1772|V000003|202604,1772
1772|V000003|202605,1772
1772|V000003|202606,1772
1779|V000003|202604,1779
1779|V000003|202605,1779
1779|V000003|202606,1779
1786|V000003|202604,1786
1786|V000003|202605,1786
1786|V000003|202606,1786
1793|V000003|202604,1793
1793|V000003|202605,1793
1793|V000003|202606,1793
1800|V000003|202604,1800
1800|V000003|202605,1800
1800|V000003|202606,1800
3095|V000003|202604,3095
3095|V000003|202605,3095
3095|V000003|202606,3095
3102|V000003|202604,3102
3102|V000003|202605,3102
3102|V000003|202606,3102
3109|V000003|202604,3109
3109|V000003|202605,3109
3109|V000003|202606,3109
3116|V000003|202604,3116
3116|V000003|202605,3116
3116|V000003|202606,3116
3123|V000003|202604,3123
3123|V000003|202605,3123
3123|V000003|202606,3123
1807|V000004|202604,1807
1807|V000004|202605,1807
1807|V000004|202606,1807
1814|V000004|202604,1814
1814|V000004|202605,1814
1814|V000004|202606,1814
1821|V000004|202604,1821
1821|V000004|202605,1821
1821|V000004|202606,1821
1828|V000004|202604,1828
1828|V000004|202605,1828
1828|V000004|202606,1828
