from_id,to_id
V000001|202604|MGDF,V000001
V000001|202604|BRKF,V000001
V000001|202605|MGDF,V000001
V000001|202605|BRKF,V000001
V000002|202604|MGDF,V000002
V000002|202604|BRKF,V000002
V000002|202605|MGDF,V000002
V000002|202605|BRKF,V000002
V000003|202604|MGDF,V000003
V000003|202604|BRKF,V000003
V000003|202605|MGDF,V000003
V000003|202605|BRKF,V000003
V000004|202604|MGDF,V000004
V000004|202604|BRKF,V000004
V000004|202605|MGDF,V000004
V000004|202605|BRKF,V000004
V000005|202604|MGDF,V000005
V000005|202604|BRKF,V000005
V000005|202605|MGDF,V000005
V000005|202605|BRKF,V000005
V000006|202604|MGDF,V000006
V000006|202604|BRKF,V000006
V000006|202605|MGDF,V000006
V000006|202605|BRKF,V000006
V000007|202604|MGDF,V000007
V000007|202604|BRKF,V000007
V000007|202605|MGDF,V000007
V000007|202605|BRKF,V000007
V000008|202604|MGDF,V000008
V000008|202604|BRKF,V000008
V000008|202605|MGDF,V000008
V000008|202605|BRKF,V000008
V000009|202604|MGDF,V000009
V000009|202604|BRKF,V000009
V000009|202605|MGDF,V000009
V000009|202605|BRKF,V000009
V000010|202604|MGDF,V000010
V000010|202604|BRKF,V000010
V000010|202605|MGDF,V000010
V000010|202605|BRKF,V000010
V000011|202604|MGDF,V000011
V000011|202604|BRKF,V000011
V000011|202605|MGDF,V000011
V000011|202605|BRKF,V000011
V000012|202604|MGDF,V000012
V000012|202604|BRKF,V000012
V000012|202605|MGDF,V000012
V000012|202605|BRKF,V000012
V000013|202604|MGDF,V000013
V000013|202604|BRKF,V000013
V000013|202605|MGDF,V000013
V000013|202605|BRKF,V000013
V000014|202604|MGDF,V000014
V000014|202604|BRKF,V000014
V000014|202605|MGDF,V000014
V000014|202605|BRKF,V000014
V000015|202604|MGDF,V000015
V000015|202604|BRKF,V000015
V000015|202605|MGDF,V000015
V000015|202605|BRKF,V000015
V000016|202604|MGDF,V000016
V000016|202604|BRKF,V000016
V000016|202605|MGDF,V000016
V000016|202605|BRKF,V000016
V000017|202604|MGDF,V000017
V000017|202604|BRKF,V000017
V000017|202605|MGDF,V000017
V000017|202605|BRKF,V000017
V000018|202604|MGDF,V000018
V000018|202604|BRKF,V000018
V000018|202605|MGDF,V000018
V000018|202605|BRKF,V000018
V000019|202604|MGDF,V000019
V000019|202604|BRKF,V000019
V000019|202605|MGDF,V000019
V000019|202605|BRKF,V000019
V000020|202604|MGDF,V000020
V000020|202604|BRKF,V000020
V000020|202605|MGDF,V000020
V000020|202605|BRKF,V000020
