from_id,to_id
V000001|202604|MGDF,202604
V000001|202604|BRKF,202604
V000001|202605|MGDF,202605
V000001|202605|BRKF,202605
V000002|202604|MGDF,202604
V000002|202604|BRKF,202604
V000002|202605|MGDF,202605
V000002|202605|BRKF,202605
V000003|202604|MGDF,202604
V000003|202604|BRKF,202604
V000003|202605|MGDF,202605
V000003|202605|BRKF,202605
V000004|202604|MGDF,202604
V000004|202604|BRKF,202604
V000004|202605|MGDF,202605
V000004|202605|BRKF,202605
V000005|202604|MGDF,202604
V000005|202604|BRKF,202604
V000005|202605|MGDF,202605
V000005|202605|BRKF,202605
V000006|202604|MGDF,202604
V000006|202604|BRKF,202604
V000006|202605|MGDF,202605
V000006|202605|BRKF,202605
V000007|202604|MGDF,202604
V000007|202604|BRKF,202604
V000007|202605|MGDF,202605
V000007|202605|BRKF,202605
V000008|202604|MGDF,202604
V000008|202604|BRKF,202604
V000008|202605|MGDF,202605
V000008|202605|BRKF,202605
V000009|202604|MGDF,202604
V000009|202604|BRKF,202604
V000009|202605|MGDF,202605
V000009|202605|BRKF,202605
V000010|202604|MGDF,202604
V000010|202604|BRKF,202604
V000010|202605|MGDF,202605
V000010|202605|BRKF,202605
V000011|202604|MGDF,202604
V000011|202604|BRKF,202604
V000011|202605|MGDF,202605
V000011|202605|BRKF,202605
V000012|202604|MGDF,202604
V000012|202604|BRKF,202604
V000012|202605|MGDF,202605
V000012|202605|BRKF,202605
V000013|202604|MGDF,202604
V000013|202604|BRKF,202604
V000013|202605|MGDF,202605
V000013|202605|BRKF,202605
V000014|202604|MGDF,202604
V000014|202604|BRKF,202604
V000014|202605|MGDF,202605
V000014|202605|BRKF,202605
V000015|202604|MGDF,202604
V000015|202604|BRKF,202604
V000015|202605|MGDF,202605
V000015|202605|BRKF,202605
V000016|202604|MGDF,202604
V000016|202604|BRKF,202604
V000016|202605|MGDF,202605
V000016|202605|BRKF,202605
V000017|202604|MGDF,202604
V000017|202604|BRKF,202604
V000017|202605|MGDF,202605
V000017|202605|BRKF,202605
V000018|202604|MGDF,202604
V000018|202604|BRKF,202604
V000018|202605|MGDF,202605
V000018|202605|BRKF,202605
V000019|202604|MGDF,202604
V000019|202604|BRKF,202604
V000019|202605|MGDF,202605
V000019|202605|BRKF,202605
V000020|202604|MGDF,202604
V000020|202604|BRKF,202604
V000020|202605|MGDF,202605
V000020|202605|BRKF,202605
