from_id,to_id
2026-06-30 00:00:00|WM1|1597,1597
2026-06-30 00:00:00|WM1|1604,1604
2026-06-30 00:00:00|WM1|1611,1611
2026-06-30 00:00:00|WM1|1618,1618
2026-06-30 00:00:00|WM1|1625,1625
2026-06-30 00:00:00|WM1|1632,1632
2026-06-30 00:00:00|WM1|1639,1639
2026-06-30 00:00:00|WM1|1646,1646
2026-06-30 00:00:00|WM1|1653,1653
2026-06-30 00:00:00|WM1|1660,1660
2026-06-30 00:00:00|WM1|1667,1667
2026-06-30 00:00:00|WM1|1674,1674
2026-06-30 00:00:00|WM1|1681,1681
2026-06-30 00:00:00|WM1|1688,1688
2026-06-30 00:00:00|WM1|1695,1695
2026-06-30 00:00:00|WM1|1702,1702
2026-06-30 00:00:00|WM1|1709,1709
2026-06-30 00:00:00|WM1|1716,1716
2026-06-30 00:00:00|WM1|1723,1723
2026-06-30 00:00:00|WM1|1730,1730
2026-06-30 00:00:00|WM1|1737,1737
2026-06-30 00:00:00|WM1|1744,1744
2026-06-30 00:00:00|WM1|1751,1751
2026-06-30 00:00:00|WM1|1758,1758
2026-06-30 00:00:00|WM1|1765,1765
2026-06-30 00:00:00|WM1|1772,1772
2026-06-30 00:00:00|WM1|1779,1779
2026-06-30 00:00:00|WM1|1786,1786
2026-06-30 00:00:00|WM1|1793,1793
2026-06-30 00:00:00|WM1|1800,1800
2026-06-30 00:00:00|WM1|1807,1807
2026-06-30 00:00:00|WM1|1814,1814
2026-06-30 00:00:00|WM1|1821,1821
2026-06-30 00:00:00|WM1|1828,1828
2026-06-30 00:00:00|WM1|1835,1835
2026-06-30 00:00:00|WM1|1842,1842
2026-06-30 00:00:00|WM1|1849,1849
2026-06-30 00:00:00|WM1|1856,1856
2026-06-30 00:00:00|WM1|1863,1863
2026-06-30 00:00:00|WM1|1870,1870
2026-06-30 00:00:00|WM1|1877,1877
2026-06-30 00:00:00|WM1|1884,1884
2026-06-30 00:00:00|WM1|1891,1891
2026-06-30 00:00:00|WM1|1898,1898
2026-06-30 00:00:00|WM1|1905,1905
2026-06-30 00:00:00|WM1|1912,1912
2026-06-30 00:00:00|WM1|1919,1919
2026-06-30 00:00:00|WM1|1926,1926
2026-06-30 00:00:00|WM1|1933,1933
2026-06-30 00:00:00|WM1|1940,1940
2026-06-30 00:00:00|WM1|1947,1947
2026-06-30 00:00:00|WM1|1954,1954
2026-06-30 00:00:00|WM1|1961,1961
2026-06-30 00:00:00|WM1|1968,1968
2026-06-30 00:00:00|WM1|1975,1975
2026-06-30 00:00:00|WM1|1982,1982
2026-06-30 00:00:00|WM1|1989,1989
2026-06-30 00:00:00|WM1|1996,1996
2026-06-30 00:00:00|WM1|2003,2003
2026-06-30 00:00:00|WM1|2010,2010
2026-06-30 00:00:00|WM1|2017,2017
2026-06-30 00:00:00|WM1|2024,2024
2026-06-30 00:00:00|WM1|2031,2031
2026-06-30 00:00:00|WM1|2038,2038
2026-06-30 00:00:00|WM1|2045,2045
2026-06-30 00:00:00|WM1|2052,2052
2026-06-30 00:00:00|WM1|2059,2059
2026-06-30 00:00:00|WM1|2066,2066
2026-06-30 00:00:00|WM1|2073,2073
2026-06-30 00:00:00|WM1|2080,2080
2026-06-30 00:00:00|WM1|2087,2087
2026-06-30 00:00:00|WM1|2094,2094
2026-06-30 00:00:00|WM1|2101,2101
2026-06-30 00:00:00|WM1|2108,2108
