from_id,to_id
2026-06-30 00:00:00|WM1|1597,ECI3157
2026-06-30 00:00:00|WM1|1604,ECI3004
2026-06-30 00:00:00|WM1|1611,ECI3011
2026-06-30 00:00:00|WM1|1618,ECI3018
2026-06-30 00:00:00|WM1|1625,ECI3025
2026-06-30 00:00:00|WM1|1632,ECI3032
2026-06-30 00:00:00|WM1|1639,ECI3039
2026-06-30 00:00:00|WM1|1646,ECI3046
2026-06-30 00:00:00|WM1|1653,ECI3053
2026-06-30 00:00:00|WM1|1660,ECI3060
2026-06-30 00:00:00|WM1|1667,ECI3067
2026-06-30 00:00:00|WM1|1674,ECI3074
2026-06-30 00:00:00|WM1|1681,ECI3081
2026-06-30 00:00:00|WM1|1688,ECI3088
2026-06-30 00:00:00|WM1|1695,ECI3095
2026-06-30 00:00:00|WM1|1702,ECI3102
2026-06-30 00:00:00|WM1|1709,ECI3109
2026-06-30 00:00:00|WM1|1716,ECI3116
2026-06-30 00:00:00|WM1|1723,ECI3123
2026-06-30 00:00:00|WM1|1730,ECI3130
2026-06-30 00:00:00|WM1|1737,ECI3137
2026-06-30 00:00:00|WM1|1744,ECI3144
2026-06-30 00:00:00|WM1|1751,ECI3151
2026-06-30 00:00:00|WM1|1758,ECI3158
2026-06-30 00:00:00|WM1|1765,ECI3005
2026-06-30 00:00:00|WM1|1772,ECI3012
2026-06-30 00:00:00|WM1|1779,ECI3019
2026-06-30 00:00:00|WM1|1786,ECI3026
2026-06-30 00:00:00|WM1|1793,ECI3033
2026-06-30 00:00:00|WM1|1800,ECI3040
2026-06-30 00:00:00|WM1|1807,ECI3047
2026-06-30 00:00:00|WM1|1814,ECI3054
2026-06-30 00:00:00|WM1|1821,ECI3061
2026-06-30 00:00:00|WM1|1828,ECI3068
2026-06-30 00:00:00|WM1|1835,ECI3075
2026-06-30 00:00:00|WM1|1842,ECI3082
2026-06-30 00:00:00|WM1|1849,ECI3089
2026-06-30 00:00:00|WM1|1856,ECI3096
2026-06-30 00:00:00|WM1|1863,ECI3103
2026-06-30 00:00:00|WM1|1870,ECI3110
2026-06-30 00:00:00|WM1|1877,ECI3117
2026-06-30 00:00:00|WM1|1884,ECI3124
2026-06-30 00:00:00|WM1|1891,ECI3131
2026-06-30 00:00:00|WM1|1898,ECI3138
2026-06-30 00:00:00|WM1|1905,ECI3145
2026-06-30 00:00:00|WM1|1912,ECI3152
2026-06-30 00:00:00|WM1|1919,ECI3159
2026-06-30 00:00:00|WM1|1926,ECI3006
2026-06-30 00:00:00|WM1|1933,ECI3013
2026-06-30 00:00:00|WM1|1940,ECI3020
2026-06-30 00:00:00|WM1|1947,ECI3027
2026-06-30 00:00:00|WM1|1954,ECI3034
2026-06-30 00:00:00|WM1|1961,ECI3041
2026-06-30 00:00:00|WM1|1968,ECI3048
2026-06-30 00:00:00|WM1|1975,ECI3055
2026-06-30 00:00:00|WM1|1982,ECI3062
2026-06-30 00:00:00|WM1|1989,ECI3069
2026-06-30 00:00:00|WM1|1996,ECI3076
2026-06-30 00:00:00|WM1|2003,ECI3083
2026-06-30 00:00:00|WM1|2010,ECI3090
2026-06-30 00:00:00|WM1|2017,ECI3097
2026-06-30 00:00:00|WM1|2024,ECI3104
2026-06-30 00:00:00|WM1|2031,ECI3111
2026-06-30 00:00:00|WM1|2038,ECI3118
2026-06-30 00:00:00|WM1|2045,ECI3125
2026-06-30 00:00:00|WM1|2052,ECI3132
2026-06-30 00:00:00|WM1|2059,ECI3139
2026-06-30 00:00:00|WM1|2066,ECI3146
2026-06-30 00:00:00|WM1|2073,ECI3153
2026-06-30 00:00:00|WM1|2080,ECI3000
