from_id,to_id
V000001|202604|ADVA|,V000001
V000001|202604|ATMF|,V000001
V000001|202604|DCCR|,V000001
V000001|202604|EDK|,V000001
V000001|202604|FCCD|,V000001
V000001|202604|FIX|,V000001
V000001|202604|FMXX|,V000001
V000001|202604|LIFE|,V000001
V000001|202604|MMKT|,V000001
V000001|202604|MUFD|,V000001
V000001|202604|OISC|,V000001
V000001|202604|PCS|,V000001
V000001|202604|STRT|,V000001
V000001|202604|UMA|,V000001
V000001|202605|ADVA|,V000001
V000001|202605|ATMF|,V000001
V000001|202605|DCCR|,V000001
V000001|202605|EDK|,V000001
V000001|202605|FCCD|,V000001
V000001|202605|FIX|,V000001
V000001|202605|FMXX|,V000001
V000001|202605|LIFE|,V000001
V000001|202605|MMKT|,V000001
V000001|202605|MUFD|,V000001
V000001|202605|OISC|,V000001
V000001|202605|PCS|,V000001
V000001|202605|STRT|,V000001
V000001|202605|UMA|,V000001
V000001|202606|ADVA|,V000001
V000001|202606|ATMF|,V000001
V000001|202606|DCCR|,V000001
V000001|202606|EDK|,V000001
V000001|202606|FCCD|,V000001
V000001|202606|FIX|,V000001
V000001|202606|FMXX|,V000001
V000001|202606|LIFE|,V000001
V000001|202606|MMKT|,V000001
V000001|202606|MUFD|,V000001
V000001|202606|OISC|,V000001
V000001|202606|PCS|,V000001
V000001|202606|STRT|,V000001
V000001|202606|UMA|,V000001
V000002|202604|ADVA|,V000002
V000002|202604|ALTI|,V000002
V000002|202604|ATMF|,V000002
V000002|202604|DAF|,V000002
V000002|202604|DCCR|,V000002
V000002|202604|ELIS|EQ,V000002
V000002|202604|ELIS|OP,V000002
V000002|202604|FCCD|,V000002
V000002|202604|FCOT|,V000002
V000002|202604|FCXX|,V000002
V000002|202604|FIX|,V000002
V000002|202604|FMXX|,V000002
V000002|202604|ITMF|,V000002
V000002|202604|LEND|SBL,V000002
V000002|202604|LIFE|,V000002
V000002|202604|MAP|,V000002
V000002|202604|OIS1|,V000002
V000002|202604|OISC|,V000002
V000002|202604|PRDP|,V000002
V000002|202604|STRT|,V000002
V000002|202604|UMA|,V000002
V000002|202604|VARI|,V000002
V000002|202605|ADVA|,V000002
V000002|202605|ALTI|,V000002
V000002|202605|ATMF|,V000002
V000002|202605|DAF|,V000002
V000002|202605|DCCR|,V000002
V000002|202605|ELIS|EQ,V000002
V000002|202605|ELIS|OP,V000002
V000002|202605|FCCD|,V000002
V000002|202605|FCOT|,V000002
V000002|202605|FCXX|,V000002
V000002|202605|FIX|,V000002
V000002|202605|FMXX|,V000002
V000002|202605|ITMF|,V000002
V000002|202605|LEND|SBL,V000002
V000002|202605|LIFE|,V000002
V000002|202605|MAP|,V000002
V000002|202605|OIS1|,V000002
V000002|202605|OISC|,V000002
V000002|202605|PRDP|,V000002
V000002|202605|STRT|,V000002
V000002|202605|UMA|,V000002
V000002|202605|VARI|,V000002
V000002|202606|ADVA|,V000002
V000002|202606|ALTI|,V000002
V000002|202606|ATMF|,V000002
V000002|202606|DAF|,V000002
V000002|202606|DCCR|,V000002
V000002|202606|ELIS|EQ,V000002
V000002|202606|ELIS|OP,V000002
V000002|202606|FCCD|,V000002
V000002|202606|FCOT|,V000002
V000002|202606|FCXX|,V000002
V000002|202606|FIX|,V000002
V000002|202606|FMXX|,V000002
V000002|202606|ITMF|,V000002
V000002|202606|LEND|SBL,V000002
V000002|202606|LIFE|,V000002
V000002|202606|MAP|,V000002
V000002|202606|OIS1|,V000002
V000002|202606|OISC|,V000002
V000002|202606|PRDP|,V000002
V000002|202606|STRT|,V000002
V000002|202606|UMA|,V000002
V000002|202606|VARI|,V000002
V000003|202604|529T|,V000003
V000003|202604|ALTI|,V000003
V000003|202604|DAF|,V000003
V000003|202604|DCCR|,V000003
V000003|202604|EDK|,V000003
V000003|202604|ELIS|EQ,V000003
V000003|202604|FCXX|,V000003
V000003|202604|FMXX|,V000003
V000003|202604|ITMF|,V000003
V000003|202604|JPMC|,V000003
V000003|202604|LEND|SBL,V000003
V000003|202604|LIFE|,V000003
V000003|202604|MAP|,V000003
V000003|202604|MMKT|,V000003
V000003|202604|OIS1|,V000003
V000003|202604|PRDP|,V000003
V000003|202604|STRT|,V000003
V000003|202604|UMA|,V000003
V000003|202604|VARI|,V000003
V000003|202605|529T|,V000003
V000003|202605|ALTI|,V000003
V000003|202605|DAF|,V000003
V000003|202605|DCCR|,V000003
V000003|202605|EDK|,V000003
