from_id,to_id
V000001|202604|529T|,plans_529
V000001|202604|DAF|,donor_advised_funds
V000001|202604|EDK|,referrals_everyday_401k
V000001|202604|ELIS|EQ,twhs_equities
V000001|202604|ELIS|OP,twhs_options
V000001|202604|FCCD|,twhs_cash_mgmt_cds
V000001|202604|FCXX|,twhs_fi_corporate
V000001|202604|FGXX|,twhs_fi_government
V000001|202604|FMXX|,twhs_fi_municipal
V000001|202604|ITMF|,trails_life_annuities
V000001|202604|JPMC|,managed_accounts
V000001|202604|LEND|SBL,lending_sbl
V000001|202604|LIFE|,life_annuities
V000001|202604|MAP|,managed_accounts
V000001|202604|MMKT|,cash_mgmt_mmkt
V000001|202604|OIS1|,managed_accounts
V000001|202604|PCS|,referrals_sit_partnership
V000001|202604|PRDP|,cash_mgmt_prdp
V000001|202604|STRT|,twhs_structured
V000001|202605|529T|,plans_529
V000001|202605|DAF|,donor_advised_funds
V000001|202605|EDK|,referrals_everyday_401k
V000001|202605|ELIS|EQ,twhs_equities
V000001|202605|ELIS|OP,twhs_options
V000001|202605|FCCD|,twhs_cash_mgmt_cds
V000001|202605|FCXX|,twhs_fi_corporate
V000001|202605|FGXX|,twhs_fi_government
V000001|202605|FMXX|,twhs_fi_municipal
V000001|202605|ITMF|,trails_life_annuities
V000001|202605|JPMC|,managed_accounts
V000001|202605|LEND|SBL,lending_sbl
V000001|202605|LIFE|,life_annuities
V000001|202605|MAP|,managed_accounts
V000001|202605|MMKT|,cash_mgmt_mmkt
V000001|202605|OIS1|,managed_accounts
V000001|202605|PCS|,referrals_sit_partnership
V000001|202605|PRDP|,cash_mgmt_prdp
V000001|202605|STRT|,twhs_structured
V000001|202606|529T|,plans_529
V000001|202606|DAF|,donor_advised_funds
V000001|202606|EDK|,referrals_everyday_401k
V000001|202606|ELIS|EQ,twhs_equities
V000001|202606|ELIS|OP,twhs_options
V000001|202606|FCCD|,twhs_cash_mgmt_cds
V000001|202606|FCXX|,twhs_fi_corporate
V000001|202606|FGXX|,twhs_fi_government
V000001|202606|FMXX|,twhs_fi_municipal
V000001|202606|ITMF|,trails_life_annuities
V000001|202606|JPMC|,managed_accounts
V000001|202606|LEND|SBL,lending_sbl
V000001|202606|LIFE|,life_annuities
V000001|202606|MAP|,managed_accounts
V000001|202606|MMKT|,cash_mgmt_mmkt
V000001|202606|OIS1|,managed_accounts
V000001|202606|PCS|,referrals_sit_partnership
V000001|202606|PRDP|,cash_mgmt_prdp
V000001|202606|STRT|,twhs_structured
V000002|202604|529T|,plans_529
V000002|202604|ADVA|,trails_life_annuities
V000002|202604|ATMF|,trails_mutual_funds
V000002|202604|ELIS|OP,twhs_options
V000002|202604|FCCD|,twhs_cash_mgmt_cds
V000002|202604|FCXX|,twhs_fi_corporate
V000002|202604|FIX|,life_annuities
V000002|202604|LEND|MGN,lending_margin
V000002|202604|MMKT|,cash_mgmt_mmkt
V000002|202604|MUFD|,twhs_mutual_funds
V000002|202604|OIS1|,managed_accounts
V000002|202604|PRDP|,cash_mgmt_prdp
V000002|202604|STRT|,twhs_structured
V000002|202604|VARI|,life_annuities
V000002|202605|529T|,plans_529
V000002|202605|ADVA|,trails_life_annuities
V000002|202605|ATMF|,trails_mutual_funds
V000002|202605|ELIS|OP,twhs_options
V000002|202605|FCCD|,twhs_cash_mgmt_cds
V000002|202605|FCXX|,twhs_fi_corporate
V000002|202605|FIX|,life_annuities
V000002|202605|LEND|MGN,lending_margin
V000002|202605|MMKT|,cash_mgmt_mmkt
V000002|202605|MUFD|,twhs_mutual_funds
V000002|202605|OIS1|,managed_accounts
V000002|202605|OISC|,managed_accounts
V000002|202605|PRDP|,cash_mgmt_prdp
V000002|202605|STRT|,twhs_structured
V000002|202605|VARI|,life_annuities
V000002|202606|529T|,plans_529
V000002|202606|ADVA|,trails_life_annuities
V000002|202606|ATMF|,trails_mutual_funds
V000002|202606|ELIS|OP,twhs_options
V000002|202606|FCCD|,twhs_cash_mgmt_cds
V000002|202606|FCXX|,twhs_fi_corporate
V000002|202606|FIX|,life_annuities
V000002|202606|LEND|MGN,lending_margin
V000002|202606|MMKT|,cash_mgmt_mmkt
V000002|202606|MUFD|,twhs_mutual_funds
V000002|202606|OIS1|,managed_accounts
V000002|202606|OISC|,managed_accounts
V000002|202606|PRDP|,cash_mgmt_prdp
V000002|202606|STRT|,twhs_structured
V000002|202606|VARI|,life_annuities
V000003|202604|ADVA|,trails_life_annuities
V000003|202604|ALTI|,alternative_investments
V000003|202604|DAF|,donor_advised_funds
V000003|202604|DCCR|,defined_contribution_advisory
V000003|202604|EDK|,referrals_everyday_401k
V000003|202604|ELIS|EQ,twhs_equities
V000003|202604|ELIS|OP,twhs_options
V000003|202604|FCCD|,twhs_cash_mgmt_cds
V000003|202604|FCOT|,twhs_fi_other
V000003|202604|FCXX|,twhs_fi_corporate
V000003|202604|FGXX|,twhs_fi_government
V000003|202604|FMXX|,twhs_fi_municipal
V000003|202604|ITMF|,trails_life_annuities
V000003|202604|LEND|MGN,lending_margin
V000003|202604|LIFE|,life_annuities
V000003|202604|MAP|,managed_accounts
V000003|202604|MUFD|,twhs_mutual_funds
V000003|202604|OIS1|,managed_accounts
V000003|202604|PCS|,referrals_sit_partnership
V000003|202604|STRT|,twhs_structured
V000003|202604|UMA|,managed_uma
V000003|202604|VARI|,life_annuities
V000003|202605|ADVA|,trails_life_annuities
V000003|202605|ALTI|,alternative_investments
V000003|202605|DAF|,donor_advised_funds
V000003|202605|DCCR|,defined_contribution_advisory
V000003|202605|EDK|,referrals_everyday_401k
V000003|202605|ELIS|EQ,twhs_equities
V000003|202605|ELIS|OP,twhs_options
V000003|202605|FCCD|,twhs_cash_mgmt_cds
V000003|202605|FCOT|,twhs_fi_other
V000003|202605|FCXX|,twhs_fi_corporate
V000003|202605|FGXX|,twhs_fi_government
V000003|202605|FMXX|,twhs_fi_municipal
V000003|202605|ITMF|,trails_life_annuities
V000003|202605|LEND|MGN,lending_margin
V000003|202605|LIFE|,life_annuities
V000003|202605|MAP|,managed_accounts
