from_id,to_id
V000001|202604|529T|,529T|
V000001|202604|ATMF|,ATMF|
V000001|202604|DAF|,DAF|
V000001|202604|DCCR|,DCCR|
V000001|202604|EDK|,EDK|
V000001|202604|FCCD|,FCCD|
V000001|202604|FGXX|,FGXX|
V000001|202604|FIX|,FIX|
V000001|202604|ITMF|,ITMF|
V000001|202604|JPMC|,JPMC|
V000001|202604|LEND|MGN,LEND|MGN
V000001|202604|LIFE|,LIFE|
V000001|202604|MAP|,MAP|
V000001|202604|MMKT|,MMKT|
V000001|202604|MUFD|,MUFD|
V000001|202604|OIS1|,OIS1|
V000001|202604|OISC|,OISC|
V000001|202604|STRT|,STRT|
V000001|202605|529T|,529T|
V000001|202605|ATMF|,ATMF|
V000001|202605|DAF|,DAF|
V000001|202605|DCCR|,DCCR|
V000001|202605|EDK|,EDK|
V000001|202605|FCCD|,FCCD|
V000001|202605|FGXX|,FGXX|
V000001|202605|FIX|,FIX|
V000001|202605|ITMF|,ITMF|
V000001|202605|JPMC|,JPMC|
V000001|202605|LEND|MGN,LEND|MGN
V000001|202605|LIFE|,LIFE|
V000001|202605|MAP|,MAP|
V000001|202605|MMKT|,MMKT|
V000001|202605|MUFD|,MUFD|
V000001|202605|OIS1|,OIS1|
V000001|202605|OISC|,OISC|
V000001|202605|STRT|,STRT|
V000001|202606|529T|,529T|
V000001|202606|ATMF|,ATMF|
V000001|202606|DAF|,DAF|
V000001|202606|DCCR|,DCCR|
V000001|202606|EDK|,EDK|
V000001|202606|FCCD|,FCCD|
V000001|202606|FGXX|,FGXX|
V000001|202606|FIX|,FIX|
V000001|202606|ITMF|,ITMF|
V000001|202606|JPMC|,JPMC|
V000001|202606|LEND|MGN,LEND|MGN
V000001|202606|LIFE|,LIFE|
V000001|202606|MAP|,MAP|
V000001|202606|MMKT|,MMKT|
V000001|202606|MUFD|,MUFD|
V000001|202606|OIS1|,OIS1|
V000001|202606|OISC|,OISC|
V000001|202606|STRT|,STRT|
V000002|202604|ALTI|,ALTI|
V000002|202604|ATMF|,ATMF|
V000002|202604|DAF|,DAF|
V000002|202604|DCCR|,DCCR|
V000002|202604|ELIS|OP,ELIS|OP
V000002|202604|FCOT|,FCOT|
V000002|202604|FCXX|,FCXX|
