from_id,to_id
V000001|202601|EC,V000001
V000001|202602|EC,V000001
V000001|202603|EC,V000001
V000001|202604|EC,V000001
V000001|202605|EC,V000001
V000001|202606|EC,V000001
V000002|202601|EC,V000002
V000002|202602|EC,V000002
V000002|202603|EC,V000002
V000002|202604|EC,V000002
V000002|202605|EC,V000002
V000002|202606|EC,V000002
V000003|202601|EC,V000003
V000003|202602|EC,V000003
V000003|202603|EC,V000003
V000003|202604|EC,V000003
V000003|202605|EC,V000003
V000003|202606|EC,V000003
V000004|202601|EC,V000004
V000004|202602|EC,V000004
V000004|202603|EC,V000004
V000004|202604|EC,V000004
V000004|202605|EC,V000004
V000004|202606|EC,V000004
V000005|202601|EC,V000005
V000005|202602|EC,V000005
V000005|202603|EC,V000005
V000005|202604|EC,V000005
V000005|202605|EC,V000005
V000005|202606|EC,V000005
V000006|202601|EC,V000006
V000006|202602|EC,V000006
V000006|202603|EC,V000006
V000006|202604|EC,V000006
V000006|202605|EC,V000006
V000006|202606|EC,V000006
V000007|202601|EC,V000007
V000007|202602|EC,V000007
V000007|202603|EC,V000007
V000007|202604|EC,V000007
V000007|202605|EC,V000007
V000007|202606|EC,V000007
V000008|202601|EC,V000008
V000008|202602|EC,V000008
V000008|202603|EC,V000008
V000008|202604|EC,V000008
V000008|202605|EC,V000008
V000008|202606|EC,V000008
V000009|202601|EC,V000009
V000009|202602|EC,V000009
V000009|202603|EC,V000009
V000009|202604|EC,V000009
V000009|202605|EC,V000009
V000009|202606|EC,V000009
V000010|202601|EC,V000010
V000010|202602|EC,V000010
V000010|202603|EC,V000010
V000010|202604|EC,V000010
V000010|202605|EC,V000010
V000010|202606|EC,V000010
V000011|202601|EC,V000011
V000011|202602|EC,V000011
V000011|202603|EC,V000011
V000011|202604|EC,V000011
V000011|202605|EC,V000011
V000011|202606|EC,V000011
V000012|202601|EC,V000012
V000012|202602|EC,V000012
V000012|202603|EC,V000012
V000012|202604|EC,V000012
V000012|202605|EC,V000012
V000012|202606|EC,V000012
V000013|202601|EC,V000013
V000013|202602|EC,V000013
V000013|202603|EC,V000013
V000013|202604|EC,V000013
V000013|202605|EC,V000013
V000013|202606|EC,V000013
V000014|202601|EC,V000014
V000014|202602|EC,V000014
V000014|202603|EC,V000014
V000014|202604|EC,V000014
V000014|202605|EC,V000014
V000014|202606|EC,V000014
V000015|202601|EC,V000015
V000015|202602|EC,V000015
V000015|202603|EC,V000015
V000015|202604|EC,V000015
V000015|202605|EC,V000015
V000015|202606|EC,V000015
V000016|202601|EC,V000016
V000016|202602|EC,V000016
V000016|202603|EC,V000016
V000016|202604|EC,V000016
V000016|202605|EC,V000016
V000016|202606|EC,V000016
V000017|202601|EC,V000017
V000017|202602|EC,V000017
V000017|202603|EC,V000017
V000017|202604|EC,V000017
V000017|202605|EC,V000017
V000017|202606|EC,V000017
V000018|202601|EC,V000018
V000018|202602|EC,V000018
V000018|202603|EC,V000018
V000018|202604|EC,V000018
V000018|202605|EC,V000018
V000018|202606|EC,V000018
V000019|202601|EC,V000019
V000019|202602|EC,V000019
V000019|202603|EC,V000019
V000019|202604|EC,V000019
V000019|202605|EC,V000019
V000019|202606|EC,V000019
V000020|202601|EC,V000020
V000020|202602|EC,V000020
V000020|202603|EC,V000020
V000020|202604|EC,V000020
V000020|202605|EC,V000020
V000020|202606|EC,V000020
V000001|202601|FS,V000001
V000001|202602|FS,V000001
V000001|202603|FS,V000001
V000001|202604|FS,V000001
V000001|202605|FS,V000001
V000001|202606|FS,V000001
V000002|202601|FS,V000002
V000002|202602|FS,V000002
V000002|202603|FS,V000002
V000002|202604|FS,V000002
V000002|202605|FS,V000002
V000002|202606|FS,V000002
V000003|202601|FS,V000003
V000003|202602|FS,V000003
V000003|202603|FS,V000003
V000003|202604|FS,V000003
V000003|202605|FS,V000003
V000003|202606|FS,V000003
V000004|202601|FS,V000004
V000004|202602|FS,V000004
V000004|202603|FS,V000004
V000004|202604|FS,V000004
V000004|202605|FS,V000004
V000004|202606|FS,V000004
V000005|202601|FS,V000005
V000005|202602|FS,V000005
V000005|202603|FS,V000005
V000005|202604|FS,V000005
V000005|202605|FS,V000005
V000005|202606|FS,V000005
V000006|202601|FS,V000006
V000006|202602|FS,V000006
V000006|202603|FS,V000006
V000006|202604|FS,V000006
V000006|202605|FS,V000006
V000006|202606|FS,V000006
V000007|202601|FS,V000007
V000007|202602|FS,V000007
V000007|202603|FS,V000007
V000007|202604|FS,V000007
V000007|202605|FS,V000007
V000007|202606|FS,V000007
V000008|202601|FS,V000008
V000008|202602|FS,V000008
V000008|202603|FS,V000008
V000008|202604|FS,V000008
V000008|202605|FS,V000008
V000008|202606|FS,V000008
V000009|202601|FS,V000009
V000009|202602|FS,V000009
V000009|202603|FS,V000009
V000009|202604|FS,V000009
V000009|202605|FS,V000009
V000009|202606|FS,V000009
V000010|202601|FS,V000010
V000010|202602|FS,V000010
V000010|202603|FS,V000010
V000010|202604|FS,V000010
V000010|202605|FS,V000010
V000010|202606|FS,V000010
V000011|202601|FS,V000011
V000011|202602|FS,V000011
V000011|202603|FS,V000011
V000011|202604|FS,V000011
V000011|202605|FS,V000011
V000011|202606|FS,V000011
V000012|202601|FS,V000012
V000012|202602|FS,V000012
V000012|202603|FS,V000012
V000012|202604|FS,V000012
V000012|202605|FS,V000012
V000012|202606|FS,V000012
V000013|202601|FS,V000013
V000013|202602|FS,V000013
V000013|202603|FS,V000013
V000013|202604|FS,V000013
V000013|202605|FS,V000013
V000013|202606|FS,V000013
V000014|202601|FS,V000014
V000014|202602|FS,V000014
V000014|202603|FS,V000014
V000014|202604|FS,V000014
V000014|202605|FS,V000014
V000014|202606|FS,V000014
V000015|202601|FS,V000015
V000015|202602|FS,V000015
V000015|202603|FS,V000015
V000015|202604|FS,V000015
V000015|202605|FS,V000015
V000015|202606|FS,V000015
V000016|202601|FS,V000016
V000016|202602|FS,V000016
V000016|202603|FS,V000016
V000016|202604|FS,V000016
V000016|202605|FS,V000016
V000016|202606|FS,V000016
V000017|202601|FS,V000017
V000017|202602|FS,V000017
V000017|202603|FS,V000017
V000017|202604|FS,V000017
V000017|202605|FS,V000017
V000017|202606|FS,V000017
V000018|202601|FS,V000018
V000018|202602|FS,V000018
V000018|202603|FS,V000018
V000018|202604|FS,V000018
V000018|202605|FS,V000018
V000018|202606|FS,V000018
V000019|202601|FS,V000019
V000019|202602|FS,V000019
V000019|202603|FS,V000019
V000019|202604|FS,V000019
V000019|202605|FS,V000019
V000019|202606|FS,V000019
V000020|202601|FS,V000020
V000020|202602|FS,V000020
V000020|202603|FS,V000020
V000020|202604|FS,V000020
V000020|202605|FS,V000020
V000020|202606|FS,V000020
V000001|202601|NB,V000001
V000001|202602|NB,V000001
V000001|202603|NB,V000001
V000001|202604|NB,V000001
V000001|202605|NB,V000001
V000001|202606|NB,V000001
V000002|202601|NB,V000002
V000002|202602|NB,V000002
V000002|202603|NB,V000002
