from_id,to_id
OPP00001,V000001
OPP00002,V000001
OPP00003,V000001
OPP00004,V000001
OPP00005,V000002
OPP00006,V000002
OPP00007,V000002
OPP00008,V000003
OPP00009,V000003
OPP00010,V000003
OPP00011,V000003
OPP00012,V000004
OPP00013,V000004
OPP00014,V000004
OPP00015,V000005
OPP00016,V000005
OPP00017,V000005
OPP00018,V000005
OPP00019,V000005
OPP00020,V000006
OPP00021,V000006
OPP00022,V000006
OPP00023,V000007
OPP00024,V000007
OPP00025,V000007
OPP00026,V000007
OPP00027,V000007
OPP00028,V000008
OPP00029,V000008
OPP00030,V000008
OPP00031,V000008
OPP00032,V000009
OPP00033,V000009
OPP00034,V000009
OPP00035,V000009
OPP00036,V000010
OPP00037,V000010
OPP00038,V000010
OPP00039,V000010
OPP00040,V000011
OPP00041,V000011
OPP00042,V000011
OPP00043,V000011
OPP00044,V000012
OPP00045,V000012
OPP00046,V000012
OPP00047,V000013
OPP00048,V000013
OPP00049,V000013
OPP00050,V000013
OPP00051,V000014
OPP00052,V000014
OPP00053,V000014
OPP00054,V000014
OPP00055,V000014
OPP00056,V000015
OPP00057,V000015
OPP00058,V000015
OPP00059,V000016
OPP00060,V000016
OPP00061,V000016
OPP00062,V000017
OPP00063,V000017
OPP00064,V000017
OPP00065,V000017
OPP00066,V000017
OPP00067,V000018
OPP00068,V000018
OPP00069,V000018
OPP00070,V000018
OPP00071,V000019
OPP00072,V000019
OPP00073,V000019
OPP00074,V000019
OPP00075,V000020
OPP00076,V000020
OPP00077,V000020
