from_id,to_id
OPP00001,ECI3004
OPP00002,ECI3011
OPP00003,ECI3018
OPP00004,ECI3025
OPP00005,ECI3013
OPP00006,ECI3020
OPP00007,ECI3027
OPP00008,ECI3005
OPP00009,ECI3012
OPP00010,ECI3019
OPP00011,ECI3026
OPP00012,ECI3047
OPP00013,ECI3054
OPP00014,ECI3061
OPP00015,ECI3006
OPP00016,ECI3013
OPP00017,ECI3020
OPP00018,ECI3117
OPP00019,ECI3124
OPP00020,ECI3027
OPP00021,ECI3034
OPP00022,ECI3041
OPP00023,ECI3000
OPP00024,ECI3097
OPP00025,ECI3104
OPP00026,ECI3111
OPP00027,ECI3118
OPP00028,ECI3007
OPP00029,ECI3014
OPP00030,ECI3021
OPP00031,ECI3028
OPP00032,ECI3077
OPP00033,ECI3084
OPP00034,ECI3091
OPP00035,ECI3098
OPP00036,ECI3001
OPP00037,ECI3008
OPP00038,ECI3015
OPP00039,ECI3022
OPP00040,ECI3057
OPP00041,ECI3064
OPP00042,ECI3071
OPP00043,ECI3078
OPP00044,ECI3002
OPP00045,ECI3006
OPP00046,ECI3009
OPP00047,ECI3037
OPP00048,ECI3044
OPP00049,ECI3051
OPP00050,ECI3058
OPP00051,ECI3003
OPP00052,ECI3010
OPP00053,ECI3107
OPP00054,ECI3114
OPP00055,ECI3121
OPP00056,ECI3017
OPP00057,ECI3024
OPP00058,ECI3031
OPP00059,ECI3087
OPP00060,ECI3094
OPP00061,ECI3101
OPP00062,ECI3004
OPP00063,ECI3011
OPP00064,ECI3018
OPP00065,ECI3025
OPP00066,ECI3032
OPP00067,ECI3067
OPP00068,ECI3074
OPP00069,ECI3081
OPP00070,ECI3088
OPP00071,ECI3005
OPP00072,ECI3012
OPP00073,ECI3019
OPP00074,ECI3026
OPP00075,ECI3047
OPP00076,ECI3054
OPP00077,ECI3061
