from_id,to_id
OISC|,managed_accounts
OIS1|,managed_accounts
JPMC|,managed_accounts
MAP|,managed_accounts
UMA|,managed_uma
ATMF|,trails_mutual_funds
ITMF|,trails_life_annuities
ADVA|,trails_life_annuities
MMKT|,cash_mgmt_mmkt
PRDP|,cash_mgmt_prdp
PCS|,referrals_sit_partnership
PCS|PBR,referrals_private_bank
529T|,plans_529
DAF|,donor_advised_funds
STRT|,twhs_structured
ELIS|EQ,twhs_equities
ELIS|OP,twhs_options
MUFD|,twhs_mutual_funds
FCXX|,twhs_fi_corporate
FMXX|,twhs_fi_municipal
FGXX|,twhs_fi_government
FCOT|,twhs_fi_other
FCCD|,twhs_cash_mgmt_cds
FIX|,life_annuities
VARI|,life_annuities
LIFE|,life_annuities
ALTI|,alternative_investments
DCCR|,defined_contribution_advisory
LEND|SBL,lending_sbl
LEND|MGN,lending_margin
EDK|,referrals_everyday_401k
MISC|,unmapped
