from_id,to_id
1597|ECI3157|001,1597
1597|ECI9067|802,1597
1604|ECI3004|001,1604
1604|ECI9074|802,1604
1611|ECI3011|001,1611
1611|ECI9081|802,1611
1618|ECI3018|001,1618
1625|ECI3025|001,1625
1632|ECI3032|001,1632
1639|ECI3039|001,1639
1646|ECI3046|001,1646
1646|ECI9026|802,1646
1653|ECI3053|151,1653
1653|ECI3053|201,1653
1660|ECI3060|001,1660
1660|ECI9040|802,1660
1667|ECI3067|001,1667
1674|ECI3074|151,1674
1674|ECI3074|201,1674
1681|ECI3081|001,1681
1688|ECI3088|151,1688
1688|ECI3088|201,1688
1695|ECI3095|001,1695
1702|ECI3102|001,1702
1709|ECI3109|151,1709
1709|ECI3109|201,1709
1709|ECI9089|802,1709
1716|ECI3116|151,1716
1716|ECI3116|201,1716
1716|ECI9006|802,1716
1723|ECI3123|151,1723
1723|ECI3123|201,1723
1730|ECI3130|001,1730
1737|ECI3137|001,1737
1737|ECI9027|802,1737
1744|ECI3144|001,1744
1751|ECI3151|001,1751
1751|ECI9041|802,1751
1758|ECI3158|151,1758
1758|ECI3158|201,1758
1758|ECI9048|802,1758
1765|ECI3005|151,1765
1765|ECI3005|201,1765
1772|ECI3012|001,1772
1779|ECI3019|151,1779
1779|ECI3019|201,1779
1779|ECI9069|802,1779
1786|ECI3026|151,1786
1786|ECI3026|201,1786
1786|ECI9076|802,1786
1793|ECI3033|001,1793
1800|ECI3040|151,1800
1800|ECI3040|201,1800
1807|ECI3047|151,1807
1807|ECI3047|201,1807
1814|ECI3054|151,1814
1814|ECI3054|201,1814
1821|ECI3061|001,1821
1821|ECI9021|802,1821
1828|ECI3068|001,1828
1828|ECI9028|802,1828
1835|ECI3075|151,1835
1835|ECI3075|201,1835
1842|ECI3082|001,1842
1842|ECI9042|802,1842
1849|ECI3089|001,1849
1849|ECI9049|802,1849
1856|ECI3096|151,1856
1856|ECI3096|201,1856
1863|ECI3103|001,1863
1870|ECI3110|001,1870
1877|ECI3117|001,1877
1884|ECI3124|001,1884
1891|ECI3131|001,1891
1891|ECI9001|802,1891
1898|ECI3138|001,1898
1905|ECI3145|001,1905
1912|ECI3152|001,1912
1912|ECI9022|802,1912
1919|ECI3159|001,1919
1926|ECI3006|001,1926
1933|ECI3013|151,1933
1933|ECI3013|201,1933
1933|ECI9043|802,1933
1940|ECI3020|001,1940
1940|ECI9050|802,1940
1947|ECI3027|001,1947
1954|ECI3034|001,1954
1954|ECI9064|802,1954
1961|ECI3041|001,1961
1968|ECI3048|001,1968
1968|ECI9078|802,1968
1975|ECI3055|001,1975
1982|ECI3062|151,1982
1982|ECI3062|201,1982
1982|ECI9002|802,1982
1989|ECI3069|151,1989
1989|ECI3069|201,1989
1996|ECI3076|001,1996
1996|ECI9016|802,1996
2003|ECI3083|001,2003
2010|ECI3090|001,2010
2017|ECI3097|001,2017
2024|ECI3104|001,2024
2031|ECI3111|151,2031
2031|ECI3111|201,2031
2038|ECI3118|001,2038
2038|ECI9058|802,2038
2045|ECI3125|001,2045
2045|ECI9065|802,2045
2052|ECI3132|001,2052
2052|ECI9072|802,2052
2059|ECI3139|151,2059
2059|ECI3139|201,2059
2066|ECI3146|151,2066
2066|ECI3146|201,2066
2066|ECI9086|802,2066
2073|ECI3153|151,2073
2073|ECI3153|201,2073
2073|ECI9003|802,2073
2080|ECI3000|001,2080
2087|ECI3007|151,2087
2087|ECI3007|201,2087
2094|ECI3014|001,2094
2101|ECI3021|001,2101
2101|ECI9031|802,2101
2108|ECI3028|151,2108
2108|ECI3028|201,2108
2108|ECI9038|802,2108
2115|ECI3035|151,2115
2115|ECI3035|201,2115
2115|ECI9045|802,2115
2122|ECI3042|151,2122
2122|ECI3042|201,2122
2129|ECI3049|001,2129
2129|ECI9059|802,2129
2136|ECI3056|001,2136
2136|ECI9066|802,2136
2143|ECI3063|001,2143
2150|ECI3070|001,2150
2157|ECI3077|001,2157
2157|ECI9087|802,2157
2164|ECI3084|001,2164
2171|ECI3091|001,2171
2178|ECI3098|001,2178
2178|ECI9018|802,2178
2185|ECI3105|151,2185
2185|ECI3105|201,2185
2192|ECI3112|151,2192
2192|ECI3112|201,2192
2192|ECI9032|802,2192
2199|ECI3119|001,2199
2206|ECI3126|151,2206
2206|ECI3126|201,2206
2213|ECI3133|001,2213
2220|ECI3140|151,2220
2220|ECI3140|201,2220
2227|ECI3147|001,2227
2234|ECI3154|001,2234
2234|ECI9074|802,2234
2241|ECI3001|001,2241
2241|ECI9081|802,2241
2248|ECI3008|151,2248
2248|ECI3008|201,2248
2255|ECI3015|151,2255
2255|ECI3015|201,2255
2255|ECI9005|802,2255
2262|ECI3022|001,2262
2269|ECI3029|001,2269
2269|ECI9019|802,2269
2276|ECI3036|001,2276
2276|ECI9026|802,2276
2283|ECI3043|001,2283
2290|ECI3050|151,2290
2290|ECI3050|201,2290
2290|ECI9040|802,2290
2297|ECI3057|001,2297
2297|ECI9047|802,2297
2304|ECI3064|151,2304
2304|ECI3064|201,2304
2304|ECI9054|802,2304
2311|ECI3071|151,2311
2311|ECI3071|201,2311
2311|ECI9061|802,2311
2318|ECI3078|001,2318
2318|ECI9068|802,2318
2325|ECI3085|001,2325
2332|ECI3092|001,2332
2339|ECI3099|001,2339
2346|ECI3106|151,2346
2346|ECI3106|201,2346
2346|ECI9006|802,2346
2353|ECI3113|001,2353
2353|ECI9013|802,2353
2360|ECI3120|151,2360
2360|ECI3120|201,2360
2367|ECI3127|151,2367
2367|ECI3127|201,2367
2374|ECI3134|001,2374
2381|ECI3141|001,2381
2388|ECI3148|151,2388
2388|ECI3148|201,2388
2388|ECI9048|802,2388
2395|ECI3155|001,2395
2402|ECI3002|001,2402
2409|ECI3009|001,2409
2416|ECI3016|001,2416
2423|ECI3023|151,2423
2423|ECI3023|201,2423
2430|ECI3030|001,2430
2437|ECI3037|151,2437
2437|ECI3037|201,2437
2444|ECI3044|151,2444
2444|ECI3044|201,2444
2451|ECI3051|001,2451
2451|ECI9021|802,2451
2458|ECI3058|001,2458
2465|ECI3065|151,2465
2465|ECI3065|201,2465
2472|ECI3072|001,2472
2472|ECI9042|802,2472
2479|ECI3079|001,2479
2486|ECI3086|151,2486
2486|ECI3086|201,2486
2493|ECI3093|151,2493
2493|ECI3093|201,2493
2493|ECI9063|802,2493
2500|ECI3100|001,2500
2507|ECI3107|001,2507
2507|ECI9077|802,2507
2514|ECI3114|151,2514
2514|ECI3114|201,2514
2521|ECI3121|151,2521
2521|ECI3121|201,2521
2521|ECI9001|802,2521
2528|ECI3128|001,2528
2528|ECI9008|802,2528
2535|ECI3135|001,2535
2542|ECI3142|001,2542
2549|ECI3149|001,2549
2556|ECI3156|151,2556
2556|ECI3156|201,2556
2556|ECI9036|802,2556
2563|ECI3003|001,2563
2563|ECI9043|802,2563
2570|ECI3010|001,2570
2577|ECI3017|001,2577
2577|ECI9057|802,2577
2584|ECI3024|151,2584
2584|ECI3024|201,2584
2591|ECI3031|001,2591
2591|ECI9071|802,2591
2598|ECI3038|001,2598
2605|ECI3045|001,2605
2612|ECI3052|001,2612
2619|ECI3059|151,2619
2619|ECI3059|201,2619
2626|ECI3066|001,2626
2626|ECI9016|802,2626
2633|ECI3073|001,2633
2633|ECI9023|802,2633
2640|ECI3080|151,2640
2640|ECI3080|201,2640
2640|ECI9030|802,2640
2647|ECI3087|151,2647
2647|ECI3087|201,2647
2654|ECI3094|001,2654
2654|ECI9044|802,2654
2661|ECI3101|151,2661
2661|ECI3101|201,2661
2668|ECI3108|151,2668
2668|ECI3108|201,2668
2668|ECI9058|802,2668
2675|ECI3115|151,2675
2675|ECI3115|201,2675
2682|ECI3122|151,2682
