from_id,to_id
1597|ECI3157|001,ECI3157
1597|ECI9067|802,ECI9067
1604|ECI3004|001,ECI3004
1604|ECI9074|802,ECI9074
1611|ECI3011|001,ECI3011
1611|ECI9081|802,ECI9081
1618|ECI3018|001,ECI3018
1625|ECI3025|001,ECI3025
1632|ECI3032|001,ECI3032
1639|ECI3039|001,ECI3039
1646|ECI3046|001,ECI3046
1646|ECI9026|802,ECI9026
1653|ECI3053|151,ECI3053
1653|ECI3053|201,ECI3053
1660|ECI3060|001,ECI3060
1660|ECI9040|802,ECI9040
1667|ECI3067|001,ECI3067
1674|ECI3074|151,ECI3074
1674|ECI3074|201,ECI3074
1681|ECI3081|001,ECI3081
1688|ECI3088|151,ECI3088
1688|ECI3088|201,ECI3088
1695|ECI3095|001,ECI3095
1702|ECI3102|001,ECI3102
1709|ECI3109|151,ECI3109
1709|ECI3109|201,ECI3109
1709|ECI9089|802,ECI9089
1716|ECI3116|151,ECI3116
1716|ECI3116|201,ECI3116
1716|ECI9006|802,ECI9006
1723|ECI3123|151,ECI3123
1723|ECI3123|201,ECI3123
1730|ECI3130|001,ECI3130
1737|ECI3137|001,ECI3137
1737|ECI9027|802,ECI9027
1744|ECI3144|001,ECI3144
1751|ECI3151|001,ECI3151
1751|ECI9041|802,ECI9041
1758|ECI3158|151,ECI3158
1758|ECI3158|201,ECI3158
1758|ECI9048|802,ECI9048
1765|ECI3005|151,ECI3005
1765|ECI3005|201,ECI3005
1772|ECI3012|001,ECI3012
1779|ECI3019|151,ECI3019
1779|ECI3019|201,ECI3019
1779|ECI9069|802,ECI9069
1786|ECI3026|151,ECI3026
1786|ECI3026|201,ECI3026
1786|ECI9076|802,ECI9076
1793|ECI3033|001,ECI3033
1800|ECI3040|151,ECI3040
1800|ECI3040|201,ECI3040
1807|ECI3047|151,ECI3047
1807|ECI3047|201,ECI3047
1814|ECI3054|151,ECI3054
1814|ECI3054|201,ECI3054
1821|ECI3061|001,ECI3061
1821|ECI9021|802,ECI9021
1828|ECI3068|001,ECI3068
1828|ECI9028|802,ECI9028
1835|ECI3075|151,ECI3075
1835|ECI3075|201,ECI3075
1842|ECI3082|001,ECI3082
1842|ECI9042|802,ECI9042
1849|ECI3089|001,ECI3089
1849|ECI9049|802,ECI9049
1856|ECI3096|151,ECI3096
1856|ECI3096|201,ECI3096
1863|ECI3103|001,ECI3103
1870|ECI3110|001,ECI3110
1877|ECI3117|001,ECI3117
1884|ECI3124|001,ECI3124
1891|ECI3131|001,ECI3131
1891|ECI9001|802,ECI9001
1898|ECI3138|001,ECI3138
1905|ECI3145|001,ECI3145
1912|ECI3152|001,ECI3152
1912|ECI9022|802,ECI9022
1919|ECI3159|001,ECI3159
1926|ECI3006|001,ECI3006
1933|ECI3013|151,ECI3013
1933|ECI3013|201,ECI3013
1933|ECI9043|802,ECI9043
1940|ECI3020|001,ECI3020
1940|ECI9050|802,ECI9050
1947|ECI3027|001,ECI3027
1954|ECI3034|001,ECI3034
1954|ECI9064|802,ECI9064
1961|ECI3041|001,ECI3041
1968|ECI3048|001,ECI3048
1968|ECI9078|802,ECI9078
1975|ECI3055|001,ECI3055
1982|ECI3062|151,ECI3062
1982|ECI3062|201,ECI3062
1982|ECI9002|802,ECI9002
1989|ECI3069|151,ECI3069
1989|ECI3069|201,ECI3069
1996|ECI3076|001,ECI3076
1996|ECI9016|802,ECI9016
2003|ECI3083|001,ECI3083
2010|ECI3090|001,ECI3090
2017|ECI3097|001,ECI3097
2024|ECI3104|001,ECI3104
2031|ECI3111|151,ECI3111
2031|ECI3111|201,ECI3111
2038|ECI3118|001,ECI3118
2038|ECI9058|802,ECI9058
2045|ECI3125|001,ECI3125
2045|ECI9065|802,ECI9065
2052|ECI3132|001,ECI3132
2052|ECI9072|802,ECI9072
2059|ECI3139|151,ECI3139
2059|ECI3139|201,ECI3139
2066|ECI3146|151,ECI3146
2066|ECI3146|201,ECI3146
2066|ECI9086|802,ECI9086
2073|ECI3153|151,ECI3153
2073|ECI3153|201,ECI3153
2073|ECI9003|802,ECI9003
2080|ECI3000|001,ECI3000
2087|ECI3007|151,ECI3007
2087|ECI3007|201,ECI3007
2094|ECI3014|001,ECI3014
2101|ECI3021|001,ECI3021
2101|ECI9031|802,ECI9031
2108|ECI3028|151,ECI3028
2108|ECI3028|201,ECI3028
2108|ECI9038|802,ECI9038
2115|ECI3035|151,ECI3035
2115|ECI3035|201,ECI3035
2115|ECI9045|802,ECI9045
2122|ECI3042|151,ECI3042
2122|ECI3042|201,ECI3042
2129|ECI3049|001,ECI3049
2129|ECI9059|802,ECI9059
2136|ECI3056|001,ECI3056
2136|ECI9066|802,ECI9066
2143|ECI3063|001,ECI3063
2150|ECI3070|001,ECI3070
2157|ECI3077|001,ECI3077
2157|ECI9087|802,ECI9087
2164|ECI3084|001,ECI3084
2171|ECI3091|001,ECI3091
2178|ECI3098|001,ECI3098
2178|ECI9018|802,ECI9018
2185|ECI3105|151,ECI3105
2185|ECI3105|201,ECI3105
2192|ECI3112|151,ECI3112
2192|ECI3112|201,ECI3112
2192|ECI9032|802,ECI9032
2199|ECI3119|001,ECI3119
2206|ECI3126|151,ECI3126
2206|ECI3126|201,ECI3126
2213|ECI3133|001,ECI3133
2220|ECI3140|151,ECI3140
2220|ECI3140|201,ECI3140
2227|ECI3147|001,ECI3147
2234|ECI3154|001,ECI3154
2234|ECI9074|802,ECI9074
2241|ECI3001|001,ECI3001
2241|ECI9081|802,ECI9081
2248|ECI3008|151,ECI3008
2248|ECI3008|201,ECI3008
2255|ECI3015|151,ECI3015
2255|ECI3015|201,ECI3015
2255|ECI9005|802,ECI9005
2262|ECI3022|001,ECI3022
2269|ECI3029|001,ECI3029
2269|ECI9019|802,ECI9019
2276|ECI3036|001,ECI3036
2276|ECI9026|802,ECI9026
2283|ECI3043|001,ECI3043
2290|ECI3050|151,ECI3050
2290|ECI3050|201,ECI3050
2290|ECI9040|802,ECI9040
2297|ECI3057|001,ECI3057
2297|ECI9047|802,ECI9047
2304|ECI3064|151,ECI3064
2304|ECI3064|201,ECI3064
2304|ECI9054|802,ECI9054
2311|ECI3071|151,ECI3071
2311|ECI3071|201,ECI3071
2311|ECI9061|802,ECI9061
2318|ECI3078|001,ECI3078
2318|ECI9068|802,ECI9068
2325|ECI3085|001,ECI3085
2332|ECI3092|001,ECI3092
2339|ECI3099|001,ECI3099
2346|ECI3106|151,ECI3106
2346|ECI3106|201,ECI3106
2346|ECI9006|802,ECI9006
2353|ECI3113|001,ECI3113
2353|ECI9013|802,ECI9013
2360|ECI3120|151,ECI3120
2360|ECI3120|201,ECI3120
2367|ECI3127|151,ECI3127
2367|ECI3127|201,ECI3127
2374|ECI3134|001,ECI3134
2381|ECI3141|001,ECI3141
2388|ECI3148|151,ECI3148
2388|ECI3148|201,ECI3148
2388|ECI9048|802,ECI9048
2395|ECI3155|001,ECI3155
2402|ECI3002|001,ECI3002
2409|ECI3009|001,ECI3009
2416|ECI3016|001,ECI3016
2423|ECI3023|151,ECI3023
2423|ECI3023|201,ECI3023
2430|ECI3030|001,ECI3030
2437|ECI3037|151,ECI3037
2437|ECI3037|201,ECI3037
2444|ECI3044|151,ECI3044
2444|ECI3044|201,ECI3044
2451|ECI3051|001,ECI3051
2451|ECI9021|802,ECI9021
2458|ECI3058|001,ECI3058
2465|ECI3065|151,ECI3065
2465|ECI3065|201,ECI3065
2472|ECI3072|001,ECI3072
2472|ECI9042|802,ECI9042
2479|ECI3079|001,ECI3079
2486|ECI3086|151,ECI3086
2486|ECI3086|201,ECI3086
2493|ECI3093|151,ECI3093
2493|ECI3093|201,ECI3093
2493|ECI9063|802,ECI9063
2500|ECI3100|001,ECI3100
2507|ECI3107|001,ECI3107
2507|ECI9077|802,ECI9077
2514|ECI3114|151,ECI3114
2514|ECI3114|201,ECI3114
2521|ECI3121|151,ECI3121
2521|ECI3121|201,ECI3121
