from_id,to_id
OCC1|3053|R880001|1|20260414093000,X900001
OCC1|3060|R880001|2|20260414093000,X900001
OCC1|3067|R880001|3|20260414093000,X900001
OCC1|3074|R880001|4|20260414093000,X900001
OCC1|3081|R880001|5|20260414093000,X900001
OCC1|3088|R880001|6|20260414093000,X900001
OCC1|3095|R880001|7|20260414093000,X900001
OCC1|3102|R880001|8|20260414093000,X900001
OCC1|3109|R880001|9|20260414093000,X900001
OCC1|3116|R880001|10|20260414093000,X900001
OCC1|3123|R880001|11|20260414093000,X900001
OCC2|1877|R700035|12|20260421110000,V000005
OCC2|1884|R700035|13|20260421110000,V000005
