from_id,to_id
100001|1|V000001,OISC|
100002|1|V000001,OISC|
100003|1|V000001,UMA|
100004|1|V000001,UMA|
100005|1|V000001,ATMF|
100006|1|V000001,ATMF|
100007|1|V000001,ADVA|
100008|1|V000001,ADVA|
100009|1|V000001,MMKT|
100010|1|V000001,MMKT|
100011|1|V000001,PCS|
100012|1|V000001,PCS|
100013|1|V000001,STRT|
100014|1|V000001,STRT|
100015|1|V000001,MUFD|
100016|1|V000001,MUFD|
100017|1|V000001,FMXX|
100018|1|V000001,FMXX|
100019|1|V000001,FCCD|
100020|1|V000001,FCCD|
100021|1|V000001,FIX|
100022|1|V000001,FIX|
100023|1|V000001,LIFE|
100024|1|V000001,LIFE|
100025|1|V000001,DCCR|
100026|1|V000001,DCCR|
100027|1|V000001,EDK|
100028|1|V000001,EDK|
100029|1|V000001,OISC|
100030|1|V000001,OISC|
100031|1|V000001,UMA|
100032|1|V000001,UMA|
100033|1|V000001,ATMF|
100034|1|V000001,ATMF|
100035|1|V000001,ADVA|
100036|1|V000001,ADVA|
100037|1|V000001,MMKT|
100038|1|V000001,MMKT|
100039|1|V000001,PCS|
100040|1|V000001,PCS|
100041|1|V000001,STRT|
100042|1|V000001,STRT|
100043|1|V000001,MUFD|
100044|1|V000001,MUFD|
100045|1|V000001,FMXX|
100046|1|V000001,FMXX|
100047|1|V000001,FCCD|
100048|1|V000001,FCCD|
100049|1|V000001,FIX|
100050|1|V000001,FIX|
100051|1|V000001,LIFE|
100052|1|V000001,LIFE|
100053|1|V000001,DCCR|
100054|1|V000001,DCCR|
100055|1|V000001,EDK|
100056|1|V000001,EDK|
100057|1|V000001,OISC|
100058|1|V000001,UMA|
100059|1|V000001,ATMF|
100060|1|V000001,ADVA|
100061|1|V000001,MMKT|
100062|1|V000001,PCS|
100063|1|V000001,STRT|
100064|1|V000001,MUFD|
100065|1|V000001,FMXX|
100066|1|V000001,FCCD|
100067|1|V000001,FIX|
100068|1|V000001,LIFE|
100069|1|V000001,DCCR|
100070|1|V000001,EDK|
100071|1|V000002,OISC|
100072|1|V000002,OISC|
100073|1|V000002,OIS1|
100074|1|V000002,OIS1|
100075|1|V000002,MAP|
100076|1|V000002,MAP|
100077|1|V000002,UMA|
100078|1|V000002,UMA|
100079|1|V000002,ATMF|
100080|1|V000002,ATMF|
100081|1|V000002,ITMF|
100082|1|V000002,ITMF|
100083|1|V000002,ADVA|
100084|1|V000002,ADVA|
100085|1|V000002,PRDP|
100086|1|V000002,PRDP|
100087|1|V000002,DAF|
100088|1|V000002,DAF|
100089|1|V000002,STRT|
100090|1|V000002,STRT|
100091|1|V000002,ELIS|EQ
100092|1|V000002,ELIS|EQ
100093|1|V000002,ELIS|OP
100094|1|V000002,ELIS|OP
100095|1|V000002,FCXX|
100096|1|V000002,FCXX|
100097|1|V000002,FMXX|
100098|1|V000002,FMXX|
100099|1|V000002,FCOT|
100100|1|V000002,FCOT|
100101|1|V000002,FCCD|
100102|1|V000002,FCCD|
100103|1|V000002,FIX|
100104|1|V000002,FIX|
100105|1|V000002,VARI|
100106|1|V000002,VARI|
100107|1|V000002,LIFE|
100108|1|V000002,LIFE|
100109|1|V000002,ALTI|
100110|1|V000002,ALTI|
100111|1|V000002,DCCR|
100112|1|V000002,DCCR|
100113|1|V000002,LEND|SBL
100114|1|V000002,LEND|SBL
100115|1|V000002,OISC|
100116|1|V000002,OISC|
100117|1|V000002,OIS1|
100118|1|V000002,OIS1|
100119|1|V000002,MAP|
100120|1|V000002,MAP|
100121|1|V000002,UMA|
100122|1|V000002,UMA|
100123|1|V000002,ATMF|
100124|1|V000002,ATMF|
100125|1|V000002,ITMF|
100126|1|V000002,ITMF|
100127|1|V000002,ADVA|
100128|1|V000002,ADVA|
100129|1|V000002,PRDP|
100130|1|V000002,PRDP|
100131|1|V000002,DAF|
100132|1|V000002,DAF|
100133|1|V000002,STRT|
100134|1|V000002,STRT|
100135|1|V000002,ELIS|EQ
100136|1|V000002,ELIS|EQ
100137|1|V000002,ELIS|OP
100138|1|V000002,ELIS|OP
100139|1|V000002,FCXX|
100140|1|V000002,FCXX|
100141|1|V000002,FMXX|
100142|1|V000002,FMXX|
100143|1|V000002,FCOT|
100144|1|V000002,FCOT|
100145|1|V000002,FCCD|
100146|1|V000002,FCCD|
100147|1|V000002,FIX|
100148|1|V000002,FIX|
100149|1|V000002,VARI|
100150|1|V000002,VARI|
100151|1|V000002,LIFE|
100152|1|V000002,LIFE|
100153|1|V000002,ALTI|
100154|1|V000002,ALTI|
100155|1|V000002,DCCR|
100156|1|V000002,DCCR|
100157|1|V000002,LEND|SBL
100158|1|V000002,LEND|SBL
100159|1|V000002,OISC|
100160|1|V000002,OIS1|
100161|1|V000002,MAP|
100162|1|V000002,UMA|
100163|1|V000002,ATMF|
100164|1|V000002,ITMF|
100165|1|V000002,ADVA|
100166|1|V000002,PRDP|
100167|1|V000002,DAF|
100168|1|V000002,STRT|
100169|1|V000002,ELIS|EQ
100170|1|V000002,ELIS|OP
100171|1|V000002,FCXX|
100172|1|V000002,FMXX|
100173|1|V000002,FCOT|
100174|1|V000002,FCCD|
100175|1|V000002,FIX|
100176|1|V000002,VARI|
100177|1|V000002,LIFE|
100178|1|V000002,ALTI|
100179|1|V000002,DCCR|
100180|1|V000002,LEND|SBL
100181|1|V000003,OIS1|
100182|1|V000003,OIS1|
100183|1|V000003,JPMC|
100184|1|V000003,JPMC|
100185|1|V000003,MAP|
100186|1|V000003,MAP|
100187|1|V000003,UMA|
100188|1|V000003,UMA|
100189|1|V000003,ITMF|
100190|1|V000003,ITMF|
100191|1|V000003,MMKT|
100192|1|V000003,MMKT|
100193|1|V000003,PRDP|
100194|1|V000003,PRDP|
100195|1|V000003,529T|
100196|1|V000003,529T|
100197|1|V000003,DAF|
100198|1|V000003,DAF|
100199|1|V000003,STRT|
100200|1|V000003,STRT|
100201|1|V000003,ELIS|EQ
100202|1|V000003,ELIS|EQ
100203|1|V000003,FCXX|
100204|1|V000003,FCXX|
100205|1|V000003,FMXX|
100206|1|V000003,FMXX|
100207|1|V000003,VARI|
100208|1|V000003,VARI|
100209|1|V000003,LIFE|
100210|1|V000003,LIFE|
100211|1|V000003,ALTI|
100212|1|V000003,ALTI|
100213|1|V000003,DCCR|
100214|1|V000003,DCCR|
100215|1|V000003,LEND|SBL
100216|1|V000003,LEND|SBL
100217|1|V000003,EDK|
100218|1|V000003,EDK|
100219|1|V000003,OIS1|
100220|1|V000003,OIS1|
100221|1|V000003,JPMC|
100222|1|V000003,JPMC|
100223|1|V000003,MAP|
100224|1|V000003,MAP|
100225|1|V000003,UMA|
100226|1|V000003,UMA|
100227|1|V000003,ITMF|
100228|1|V000003,ITMF|
100229|1|V000003,MMKT|
100230|1|V000003,MMKT|
100231|1|V000003,PRDP|
100232|1|V000003,PRDP|
100233|1|V000003,529T|
100234|1|V000003,529T|
100235|1|V000003,DAF|
100236|1|V000003,DAF|
100237|1|V000003,STRT|
100238|1|V000003,STRT|
100239|1|V000003,ELIS|EQ
100240|1|V000003,ELIS|EQ
100241|1|V000003,FCXX|
100242|1|V000003,FCXX|
100243|1|V000003,FMXX|
100244|1|V000003,FMXX|
100245|1|V000003,VARI|
100246|1|V000003,VARI|
100247|1|V000003,LIFE|
100248|1|V000003,LIFE|
