H2026-06-30
DEntry_Dt|StandardID|Month_Year|MTD_NNM|YTD_NNM
D2026-01-01|V000001|2026-01-31|1188949.91|1188949.91
D2026-02-01|V000001|2026-02-28|-455190.04|733759.87
D2026-03-01|V000001|2026-03-31|246324.05|980083.92
D2026-04-01|V000001|2026-04-30|1258539.66|2238623.58
D2026-05-01|V000001|2026-05-31|268783.66|2507407.24
D2026-06-01|V000001|2026-06-30|1186381.75|3693788.99
D2026-01-01|V000002|2026-01-31|983051.74|983051.74
D2026-02-01|V000002|2026-02-28|1162374.09|2145425.83
D2026-03-01|V000002|2026-03-31|2709493.15|4854918.98
D2026-04-01|V000002|2026-04-30|1128199.01|5983117.99
D2026-05-01|V000002|2026-05-31|725651.66|6708769.65
D2026-06-01|V000002|2026-06-30|0.00|6708769.65
D2026-01-01|V000003|2026-01-31|390289.35|390289.35
D2026-02-01|V000003|2026-02-28|423279.79|813569.14
D2026-03-01|V000003|2026-03-31|567526.71|1381095.85
D2026-04-01|V000003|2026-04-30|88538.23|1469634.08
D2026-05-01|V000003|2026-05-31|-400592.50|1069041.58
D2026-06-01|V000003|2026-06-30|563047.61|1632089.19
D2026-01-01|V000004|2026-01-31|3290648.89|3290648.89
D2026-02-01|V000004|2026-02-28|2081205.25|5371854.14
D2026-03-01|V000004|2026-03-31|1219340.35|6591194.49
D2026-04-01|V000004|2026-04-30|2119753.48|8710947.97
D2026-05-01|V000004|2026-05-31|438629.73|9149577.70
D2026-06-01|V000004|2026-06-30|1920541.79|11070119.49
D2026-01-01|V000005|2026-01-31|894198.50|894198.50
D2026-02-01|V000005|2026-02-28|919851.28|1814049.78
D2026-03-01|V000005|2026-03-31|1139685.04|2953734.82
D2026-04-01|V000005|2026-04-30|734089.51|3687824.33
D2026-05-01|V000005|2026-05-31|1763311.72|5451136.05
D2026-06-01|V000005|2026-06-30|1803974.67|7255110.72
D2026-01-01|V000006|2026-01-31|1219363.82|1219363.82
D2026-02-01|V000006|2026-02-28|315923.76|1535287.58
D2026-03-01|V000006|2026-03-31|957943.30|2493230.88
D2026-04-01|V000006|2026-04-30|1215866.08|3709096.96
D2026-05-01|V000006|2026-05-31|1943898.38|5652995.34
D2026-06-01|V000006|2026-06-30|847129.45|6500124.79
D2026-01-01|V000007|2026-01-31|2372635.85|2372635.85
D2026-02-01|V000007|2026-02-28|2885985.66|5258621.51
D2026-03-01|V000007|2026-03-31|0.00|5258621.51
D2026-04-01|V000007|2026-04-30|1680280.33|6938901.84
D2026-05-01|V000007|2026-05-31|-615979.69|6322922.15
D2026-06-01|V000007|2026-06-30|1085480.15|7408402.30
D2026-01-01|V000008|2026-01-31|1220107.58|1220107.58
D2026-02-01|V000008|2026-02-28|1346722.28|2566829.86
D2026-03-01|V000008|2026-03-31|1617503.73|4184333.59
D2026-04-01|V000008|2026-04-30|389593.62|4573927.21
D2026-05-01|V000008|2026-05-31|241926.11|4815853.32
D2026-06-01|V000008|2026-06-30|650425.85|5466279.17
D2026-01-01|V000009|2026-01-31|1146800.99|1146800.99
D2026-02-01|V000009|2026-02-28|1215665.16|2362466.15
D2026-03-01|V000009|2026-03-31|-1107671.79|1254794.36
D2026-04-01|V000009|2026-04-30|252276.59|1507070.95
D2026-05-01|V000009|2026-05-31|208336.01|1715406.96
D2026-06-01|V000009|2026-06-30|1082283.32|2797690.28
D2026-01-01|V000010|2026-01-31|894772.82|894772.82
D2026-02-01|V000010|2026-02-28|1493997.86|2388770.68
D2026-03-01|V000010|2026-03-31|-1597111.65|791659.03
D2026-04-01|V000010|2026-04-30|1305729.99|2097389.02
D2026-05-01|V000010|2026-05-31|1686149.60|3783538.62
D2026-06-01|V000010|2026-06-30|745498.73|4529037.35
D2026-01-01|V000011|2026-01-31|1194001.48|1194001.48
D2026-02-01|V000011|2026-02-28|2642221.78|3836223.26
D2026-03-01|V000011|2026-03-31|1388883.31|5225106.57
D2026-04-01|V000011|2026-04-30|1515621.69|6740728.26
D2026-05-01|V000011|2026-05-31|2511532.20|9252260.46
D2026-06-01|V000011|2026-06-30|3188009.50|12440269.96
D2026-01-01|V000012|2026-01-31|286112.94|286112.94
D2026-02-01|V000012|2026-02-28|139645.12|425758.06
D2026-03-01|V000012|2026-03-31|-835203.83|-409445.77
D2026-04-01|V000012|2026-04-30|394999.06|-14446.71
D2026-05-01|V000012|2026-05-31|0.00|-14446.71
D2026-06-01|V000012|2026-06-30|846920.76|832474.05
D2026-01-01|V000013|2026-01-31|1731970.35|1731970.35
D2026-02-01|V000013|2026-02-28|1667721.61|3399691.96
D2026-03-01|V000013|2026-03-31|1436716.60|4836408.56
D2026-04-01|V000013|2026-04-30|530707.38|5367115.94
D2026-05-01|V000013|2026-05-31|511620.34|5878736.28
D2026-06-01|V000013|2026-06-30|-801164.08|5077572.20
D2026-01-01|V000014|2026-01-31|899670.18|899670.18
D2026-02-01|V000014|2026-02-28|1062076.88|1961747.06
D2026-03-01|V000014|2026-03-31|278965.73|2240712.79
D2026-04-01|V000014|2026-04-30|1080605.04|3321317.83
D2026-05-01|V000014|2026-05-31|720060.61|4041378.44
D2026-06-01|V000014|2026-06-30|1110971.38|5152349.82
D2026-01-01|V000015|2026-01-31|1084736.10|1084736.10
D2026-02-01|V000015|2026-02-28|765430.66|1850166.76
D2026-03-01|V000015|2026-03-31|-2918125.73|-1067958.97
D2026-04-01|V000015|2026-04-30|-687470.95|-1755429.92
D2026-05-01|V000015|2026-05-31|1349042.08|-406387.84
D2026-06-01|V000015|2026-06-30|-2921769.64|-3328157.48
D2026-01-01|V000016|2026-01-31|-58224.43|-58224.43
D2026-02-01|V000016|2026-02-28|-63517.70|-121742.13
D2026-03-01|V000016|2026-03-31|-273524.79|-395266.92
D2026-04-01|V000016|2026-04-30|-240566.95|-635833.87
D2026-05-01|V000016|2026-05-31|-353592.40|-989426.27
D2026-06-01|V000016|2026-06-30|-339103.05|-1328529.32
D2026-01-01|V000017|2026-01-31|-104443.31|-104443.31
D2026-02-01|V000017|2026-02-28|-205489.91|-309933.22
D2026-03-01|V000017|2026-03-31|-72815.43|-382748.65
D2026-04-01|V000017|2026-04-30|-114433.01|-497181.66
D2026-05-01|V000017|2026-05-31|-294120.34|-791302.00
D2026-06-01|V000017|2026-06-30|-328314.90|-1119616.90
D2026-01-01|V000018|2026-01-31|952271.70|952271.70
D2026-02-01|V000018|2026-02-28|-926804.48|25467.22
D2026-03-01|V000018|2026-03-31|249537.80|275005.02
D2026-04-01|V000018|2026-04-30|1700416.87|1975421.89
D2026-05-01|V000018|2026-05-31|695128.65|2670550.54
D2026-06-01|V000018|2026-06-30|596212.19|3266762.73
D2026-01-01|V000019|2026-01-31|242117.05|242117.05
D2026-02-01|V000019|2026-02-28|807017.38|1049134.43
D2026-03-01|V000019|2026-03-31|376665.98|1425800.41
D2026-04-01|V000019|2026-04-30|0.00|1425800.41
D2026-05-01|V000019|2026-05-31|-454693.24|971107.17
D2026-06-01|V000019|2026-06-30|752564.00|1723671.17
D2026-01-01|V000020|2026-01-31|936007.75|936007.75
D2026-02-01|V000020|2026-02-28|1671162.01|2607169.76
D2026-03-01|V000020|2026-03-31|1626403.70|4233573.46
D2026-04-01|V000020|2026-04-30|1056502.35|5290075.81
D2026-05-01|V000020|2026-05-31|1660175.06|6950250.87
D2026-06-01|V000020|2026-06-30|-374136.32|6576114.55
