H2026-06-30
DEntry_Dt|StandardID|Month_Year|MTD_NNM|YTD_NNM
D2026-01-01|V000001|2026-01-31|167606.02|167606.02
D2026-02-01|V000001|2026-02-28|99571.68|267177.70
D2026-03-01|V000001|2026-03-31|0.00|267177.70
D2026-04-01|V000001|2026-04-30|153979.92|421157.62
D2026-05-01|V000001|2026-05-31|174689.78|595847.40
D2026-06-01|V000001|2026-06-30|51860.46|647707.86
D2026-01-01|V000002|2026-01-31|651202.86|651202.86
D2026-02-01|V000002|2026-02-28|301801.97|953004.83
D2026-03-01|V000002|2026-03-31|366701.85|1319706.68
D2026-04-01|V000002|2026-04-30|414200.50|1733907.18
D2026-05-01|V000002|2026-05-31|0.00|1733907.18
D2026-06-01|V000002|2026-06-30|197353.09|1931260.27
D2026-01-01|V000003|2026-01-31|108924.25|108924.25
D2026-02-01|V000003|2026-02-28|352879.94|461804.19
D2026-03-01|V000003|2026-03-31|196812.78|658616.97
D2026-04-01|V000003|2026-04-30|268629.25|927246.22
D2026-05-01|V000003|2026-05-31|273066.56|1200312.78
D2026-06-01|V000003|2026-06-30|407773.57|1608086.35
D2026-01-01|V000004|2026-01-31|246101.96|246101.96
D2026-02-01|V000004|2026-02-28|0.00|246101.96
D2026-03-01|V000004|2026-03-31|294277.50|540379.46
D2026-04-01|V000004|2026-04-30|-150698.80|389680.66
D2026-05-01|V000004|2026-05-31|138794.30|528474.96
D2026-06-01|V000004|2026-06-30|-281782.64|246692.32
D2026-01-01|V000005|2026-01-31|396024.86|396024.86
D2026-02-01|V000005|2026-02-28|422106.81|818131.67
D2026-03-01|V000005|2026-03-31|376642.12|1194773.79
D2026-04-01|V000005|2026-04-30|188442.91|1383216.70
D2026-05-01|V000005|2026-05-31|544316.68|1927533.38
D2026-06-01|V000005|2026-06-30|397536.02|2325069.40
D2026-01-01|V000006|2026-01-31|-55886.86|-55886.86
D2026-02-01|V000006|2026-02-28|-71374.76|-127261.62
D2026-03-01|V000006|2026-03-31|-31772.68|-159034.30
D2026-04-01|V000006|2026-04-30|-33039.75|-192074.05
D2026-05-01|V000006|2026-05-31|-94519.24|-286593.29
D2026-06-01|V000006|2026-06-30|-16430.65|-303023.94
D2026-01-01|V000007|2026-01-31|364380.33|364380.33
D2026-02-01|V000007|2026-02-28|303955.63|668335.96
D2026-03-01|V000007|2026-03-31|182539.29|850875.25
D2026-04-01|V000007|2026-04-30|361141.06|1212016.31
D2026-05-01|V000007|2026-05-31|316277.66|1528293.97
D2026-06-01|V000007|2026-06-30|398704.47|1926998.44
D2026-01-01|V000008|2026-01-31|-26283.49|-26283.49
D2026-02-01|V000008|2026-02-28|0.00|-26283.49
D2026-03-01|V000008|2026-03-31|-30481.47|-56764.96
D2026-04-01|V000008|2026-04-30|-34682.02|-91446.98
D2026-05-01|V000008|2026-05-31|-20575.31|-112022.29
D2026-06-01|V000008|2026-06-30|-7505.47|-119527.76
D2026-01-01|V000009|2026-01-31|268518.29|268518.29
D2026-02-01|V000009|2026-02-28|659938.85|928457.14
D2026-03-01|V000009|2026-03-31|345397.55|1273854.69
D2026-04-01|V000009|2026-04-30|624813.54|1898668.23
D2026-05-01|V000009|2026-05-31|-143959.55|1754708.68
D2026-06-01|V000009|2026-06-30|733330.44|2488039.12
D2026-01-01|V000010|2026-01-31|128969.46|128969.46
D2026-02-01|V000010|2026-02-28|193273.93|322243.39
D2026-03-01|V000010|2026-03-31|567134.26|889377.65
D2026-04-01|V000010|2026-04-30|641414.68|1530792.33
D2026-05-01|V000010|2026-05-31|626369.48|2157161.81
D2026-06-01|V000010|2026-06-30|0.00|2157161.81
D2026-01-01|V000011|2026-01-31|0.00|0.00
D2026-02-01|V000011|2026-02-28|0.00|0.00
D2026-03-01|V000011|2026-03-31|905038.76|905038.76
D2026-04-01|V000011|2026-04-30|740544.52|1645583.28
D2026-05-01|V000011|2026-05-31|826650.83|2472234.11
D2026-06-01|V000011|2026-06-30|150038.64|2622272.75
D2026-01-01|V000012|2026-01-31|0.00|0.00
D2026-02-01|V000012|2026-02-28|235891.56|235891.56
D2026-03-01|V000012|2026-03-31|401385.86|637277.42
D2026-04-01|V000012|2026-04-30|559684.35|1196961.77
D2026-05-01|V000012|2026-05-31|460491.36|1657453.13
D2026-06-01|V000012|2026-06-30|200901.01|1858354.14
D2026-01-01|V000013|2026-01-31|-34009.50|-34009.50
D2026-02-01|V000013|2026-02-28|-15515.83|-49525.33
D2026-03-01|V000013|2026-03-31|-20315.60|-69840.93
D2026-04-01|V000013|2026-04-30|-33547.19|-103388.12
D2026-05-01|V000013|2026-05-31|-15473.06|-118861.18
D2026-06-01|V000013|2026-06-30|-23396.08|-142257.26
D2026-01-01|V000014|2026-01-31|177605.12|177605.12
D2026-02-01|V000014|2026-02-28|269538.37|447143.49
D2026-03-01|V000014|2026-03-31|443992.48|891135.97
D2026-04-01|V000014|2026-04-30|75745.50|966881.47
D2026-05-01|V000014|2026-05-31|328536.11|1295417.58
D2026-06-01|V000014|2026-06-30|124541.41|1419958.99
D2026-01-01|V000015|2026-01-31|-49299.29|-49299.29
D2026-02-01|V000015|2026-02-28|-118862.89|-168162.18
D2026-03-01|V000015|2026-03-31|-72673.68|-240835.86
D2026-04-01|V000015|2026-04-30|-85490.86|-326326.72
D2026-05-01|V000015|2026-05-31|-41283.60|-367610.32
D2026-06-01|V000015|2026-06-30|-119434.11|-487044.43
D2026-01-01|V000016|2026-01-31|0.00|0.00
D2026-02-01|V000016|2026-02-28|82752.26|82752.26
D2026-03-01|V000016|2026-03-31|55005.09|137757.35
D2026-04-01|V000016|2026-04-30|311518.54|449275.89
D2026-05-01|V000016|2026-05-31|201748.97|651024.86
D2026-06-01|V000016|2026-06-30|60813.92|711838.78
D2026-01-01|V000017|2026-01-31|255361.51|255361.51
D2026-02-01|V000017|2026-02-28|122011.08|377372.59
D2026-03-01|V000017|2026-03-31|95639.79|473012.38
D2026-04-01|V000017|2026-04-30|240974.54|713986.92
D2026-05-01|V000017|2026-05-31|0.00|713986.92
D2026-06-01|V000017|2026-06-30|68485.03|782471.95
D2026-01-01|V000018|2026-01-31|-38479.65|-38479.65
D2026-02-01|V000018|2026-02-28|39762.35|1282.70
D2026-03-01|V000018|2026-03-31|42254.42|43537.12
D2026-04-01|V000018|2026-04-30|12475.23|56012.35
D2026-05-01|V000018|2026-05-31|-44509.92|11502.43
D2026-06-01|V000018|2026-06-30|42787.77|54290.20
D2026-01-01|V000019|2026-01-31|-332082.28|-332082.28
D2026-02-01|V000019|2026-02-28|-319025.41|-651107.69
D2026-03-01|V000019|2026-03-31|263194.06|-387913.63
D2026-04-01|V000019|2026-04-30|277348.25|-110565.38
D2026-05-01|V000019|2026-05-31|227601.01|117035.63
D2026-06-01|V000019|2026-06-30|97494.71|214530.34
D2026-01-01|V000020|2026-01-31|987155.44|987155.44
D2026-02-01|V000020|2026-02-28|-253833.25|733322.19
D2026-03-01|V000020|2026-03-31|301682.11|1035004.30
D2026-04-01|V000020|2026-04-30|299003.62|1334007.92
D2026-05-01|V000020|2026-05-31|535128.50|1869136.42
D2026-06-01|V000020|2026-06-30|831553.60|2700690.02
