H2026-06-30
DEntry_Dt|StandardID|Month_Year|MTD_NNM|YTD_NNM
D2026-01-01|V000001|2026-01-31|91657.20|91657.20
D2026-02-01|V000001|2026-02-28|455850.51|547507.71
D2026-03-01|V000001|2026-03-31|-303106.28|244401.43
D2026-04-01|V000001|2026-04-30|430784.86|675186.29
D2026-05-01|V000001|2026-05-31|443157.98|1118344.27
D2026-06-01|V000001|2026-06-30|278900.88|1397245.15
D2026-01-01|V000002|2026-01-31|238883.31|238883.31
D2026-02-01|V000002|2026-02-28|-115211.96|123671.35
D2026-03-01|V000002|2026-03-31|467973.39|591644.74
D2026-04-01|V000002|2026-04-30|532406.87|1124051.61
D2026-05-01|V000002|2026-05-31|399219.61|1523271.22
D2026-06-01|V000002|2026-06-30|-131140.91|1392130.31
D2026-01-01|V000003|2026-01-31|666898.84|666898.84
D2026-02-01|V000003|2026-02-28|425308.41|1092207.25
D2026-03-01|V000003|2026-03-31|190919.60|1283126.85
D2026-04-01|V000003|2026-04-30|0.00|1283126.85
D2026-05-01|V000003|2026-05-31|98940.40|1382067.25
D2026-06-01|V000003|2026-06-30|569368.67|1951435.92
D2026-01-01|V000004|2026-01-31|1202620.84|1202620.84
D2026-02-01|V000004|2026-02-28|1063193.42|2265814.26
D2026-03-01|V000004|2026-03-31|750543.42|3016357.68
D2026-04-01|V000004|2026-04-30|875227.43|3891585.11
D2026-05-01|V000004|2026-05-31|445298.19|4336883.30
D2026-06-01|V000004|2026-06-30|428543.53|4765426.83
D2026-01-01|V000005|2026-01-31|1291196.03|1291196.03
D2026-02-01|V000005|2026-02-28|714483.11|2005679.14
D2026-03-01|V000005|2026-03-31|1005064.71|3010743.85
D2026-04-01|V000005|2026-04-30|1009914.56|4020658.41
D2026-05-01|V000005|2026-05-31|151744.81|4172403.22
D2026-06-01|V000005|2026-06-30|680366.83|4852770.05
D2026-01-01|V000006|2026-01-31|160228.54|160228.54
D2026-02-01|V000006|2026-02-28|259020.63|419249.17
D2026-03-01|V000006|2026-03-31|945896.74|1365145.91
D2026-04-01|V000006|2026-04-30|155966.60|1521112.51
D2026-05-01|V000006|2026-05-31|0.00|1521112.51
D2026-06-01|V000006|2026-06-30|711556.46|2232668.97
D2026-01-01|V000007|2026-01-31|662670.06|662670.06
D2026-02-01|V000007|2026-02-28|362751.45|1025421.51
D2026-03-01|V000007|2026-03-31|970403.44|1995824.95
D2026-04-01|V000007|2026-04-30|649648.38|2645473.33
D2026-05-01|V000007|2026-05-31|802022.70|3447496.03
D2026-06-01|V000007|2026-06-30|-646259.82|2801236.21
D2026-01-01|V000008|2026-01-31|-127401.39|-127401.39
D2026-02-01|V000008|2026-02-28|746156.90|618755.51
D2026-03-01|V000008|2026-03-31|436577.02|1055332.53
D2026-04-01|V000008|2026-04-30|421316.27|1476648.80
D2026-05-01|V000008|2026-05-31|180770.82|1657419.62
D2026-06-01|V000008|2026-06-30|808685.43|2466105.05
D2026-01-01|V000009|2026-01-31|207634.04|207634.04
D2026-02-01|V000009|2026-02-28|0.00|207634.04
D2026-03-01|V000009|2026-03-31|28190.73|235824.77
D2026-04-01|V000009|2026-04-30|0.00|235824.77
D2026-05-01|V000009|2026-05-31|-65617.06|170207.71
D2026-06-01|V000009|2026-06-30|146175.33|316383.04
D2026-01-01|V000010|2026-01-31|530762.69|530762.69
D2026-02-01|V000010|2026-02-28|751650.37|1282413.06
D2026-03-01|V000010|2026-03-31|994783.92|2277196.98
D2026-04-01|V000010|2026-04-30|673333.35|2950530.33
D2026-05-01|V000010|2026-05-31|176570.13|3127100.46
D2026-06-01|V000010|2026-06-30|248178.59|3375279.05
D2026-01-01|V000011|2026-01-31|0.00|0.00
D2026-02-01|V000011|2026-02-28|653446.04|653446.04
D2026-03-01|V000011|2026-03-31|769565.98|1423012.02
D2026-04-01|V000011|2026-04-30|-1151814.29|271197.73
D2026-05-01|V000011|2026-05-31|515308.55|786506.28
D2026-06-01|V000011|2026-06-30|1302044.69|2088550.97
D2026-01-01|V000012|2026-01-31|219075.04|219075.04
D2026-02-01|V000012|2026-02-28|281518.67|500593.71
D2026-03-01|V000012|2026-03-31|344877.61|845471.32
D2026-04-01|V000012|2026-04-30|246660.49|1092131.81
D2026-05-01|V000012|2026-05-31|-129267.34|962864.47
D2026-06-01|V000012|2026-06-30|240287.17|1203151.64
D2026-01-01|V000013|2026-01-31|474693.00|474693.00
D2026-02-01|V000013|2026-02-28|717984.00|1192677.00
D2026-03-01|V000013|2026-03-31|386091.07|1578768.07
D2026-04-01|V000013|2026-04-30|184088.17|1762856.24
D2026-05-01|V000013|2026-05-31|0.00|1762856.24
D2026-06-01|V000013|2026-06-30|164991.37|1927847.61
D2026-01-01|V000014|2026-01-31|1176450.36|1176450.36
D2026-02-01|V000014|2026-02-28|0.00|1176450.36
D2026-03-01|V000014|2026-03-31|607433.22|1783883.58
D2026-04-01|V000014|2026-04-30|527615.17|2311498.75
D2026-05-01|V000014|2026-05-31|538399.16|2849897.91
D2026-06-01|V000014|2026-06-30|329379.32|3179277.23
D2026-01-01|V000015|2026-01-31|183013.17|183013.17
D2026-02-01|V000015|2026-02-28|521823.10|704836.27
D2026-03-01|V000015|2026-03-31|569006.87|1273843.14
D2026-04-01|V000015|2026-04-30|210666.01|1484509.15
D2026-05-01|V000015|2026-05-31|599717.61|2084226.76
D2026-06-01|V000015|2026-06-30|192375.75|2276602.51
D2026-01-01|V000016|2026-01-31|484447.53|484447.53
D2026-02-01|V000016|2026-02-28|685726.82|1170174.35
D2026-03-01|V000016|2026-03-31|664768.80|1834943.15
D2026-04-01|V000016|2026-04-30|168126.53|2003069.68
D2026-05-01|V000016|2026-05-31|1111669.26|3114738.94
D2026-06-01|V000016|2026-06-30|1075458.68|4190197.62
D2026-01-01|V000017|2026-01-31|224984.19|224984.19
D2026-02-01|V000017|2026-02-28|146750.85|371735.04
D2026-03-01|V000017|2026-03-31|0.00|371735.04
D2026-04-01|V000017|2026-04-30|0.00|371735.04
D2026-05-01|V000017|2026-05-31|0.00|371735.04
D2026-06-01|V000017|2026-06-30|156315.44|528050.48
D2026-01-01|V000018|2026-01-31|526731.84|526731.84
D2026-02-01|V000018|2026-02-28|172410.33|699142.17
D2026-03-01|V000018|2026-03-31|642966.63|1342108.80
D2026-04-01|V000018|2026-04-30|567487.87|1909596.67
D2026-05-01|V000018|2026-05-31|510578.60|2420175.27
D2026-06-01|V000018|2026-06-30|-540443.56|1879731.71
D2026-01-01|V000019|2026-01-31|207909.79|207909.79
D2026-02-01|V000019|2026-02-28|161360.28|369270.07
D2026-03-01|V000019|2026-03-31|-382177.52|-12907.45
D2026-04-01|V000019|2026-04-30|446163.42|433255.97
D2026-05-01|V000019|2026-05-31|101124.88|534380.85
D2026-06-01|V000019|2026-06-30|118765.11|653145.96
D2026-01-01|V000020|2026-01-31|419194.92|419194.92
D2026-02-01|V000020|2026-02-28|71089.69|490284.61
D2026-03-01|V000020|2026-03-31|116272.83|606557.44
D2026-04-01|V000020|2026-04-30|347026.10|953583.54
D2026-05-01|V000020|2026-05-31|111540.59|1065124.13
