H2026-06-30
DEntry_Dt|StandardID|Month_Year|MTD_NNM|YTD_NNM
D2026-01-01|V000001|2026-01-31|439264.44|439264.44
D2026-02-01|V000001|2026-02-28|-204974.54|234289.90
D2026-03-01|V000001|2026-03-31|487414.18|721704.08
D2026-04-01|V000001|2026-04-30|-56805.99|664898.09
D2026-05-01|V000001|2026-05-31|101434.16|766332.25
D2026-06-01|V000001|2026-06-30|243213.64|1009545.89
D2026-01-01|V000002|2026-01-31|52101.33|52101.33
D2026-02-01|V000002|2026-02-28|51435.04|103536.37
D2026-03-01|V000002|2026-03-31|76317.62|179853.99
D2026-04-01|V000002|2026-04-30|61393.97|241247.96
D2026-05-01|V000002|2026-05-31|53594.17|294842.13
D2026-06-01|V000002|2026-06-30|0.00|294842.13
D2026-01-01|V000003|2026-01-31|19048.48|19048.48
D2026-02-01|V000003|2026-02-28|9582.54|28631.02
D2026-03-01|V000003|2026-03-31|-2927.63|25703.39
D2026-04-01|V000003|2026-04-30|12147.99|37851.38
D2026-05-01|V000003|2026-05-31|2893.53|40744.91
D2026-06-01|V000003|2026-06-30|22101.31|62846.22
D2026-01-01|V000004|2026-01-31|201944.23|201944.23
D2026-02-01|V000004|2026-02-28|562528.20|764472.43
D2026-03-01|V000004|2026-03-31|0.00|764472.43
D2026-04-01|V000004|2026-04-30|412566.04|1177038.47
D2026-05-01|V000004|2026-05-31|192902.96|1369941.43
D2026-06-01|V000004|2026-06-30|230165.55|1600106.98
D2026-01-01|V000005|2026-01-31|-180626.44|-180626.44
D2026-02-01|V000005|2026-02-28|0.00|-180626.44
D2026-03-01|V000005|2026-03-31|372671.33|192044.89
D2026-04-01|V000005|2026-04-30|451628.10|643672.99
D2026-05-01|V000005|2026-05-31|0.00|643672.99
D2026-06-01|V000005|2026-06-30|379159.16|1022832.15
D2026-01-01|V000006|2026-01-31|129604.12|129604.12
D2026-02-01|V000006|2026-02-28|182925.86|312529.98
D2026-03-01|V000006|2026-03-31|157601.88|470131.86
D2026-04-01|V000006|2026-04-30|98278.28|568410.14
D2026-05-01|V000006|2026-05-31|201515.14|769925.28
D2026-06-01|V000006|2026-06-30|140908.74|910834.02
D2026-01-01|V000007|2026-01-31|296102.95|296102.95
D2026-02-01|V000007|2026-02-28|138200.94|434303.89
D2026-03-01|V000007|2026-03-31|90556.65|524860.54
D2026-04-01|V000007|2026-04-30|235157.52|760018.06
D2026-05-01|V000007|2026-05-31|-177397.79|582620.27
D2026-06-01|V000007|2026-06-30|118154.46|700774.73
D2026-01-01|V000008|2026-01-31|0.00|0.00
D2026-02-01|V000008|2026-02-28|131526.33|131526.33
D2026-03-01|V000008|2026-03-31|81673.00|213199.33
D2026-04-01|V000008|2026-04-30|47497.98|260697.31
D2026-05-01|V000008|2026-05-31|-84293.13|176404.18
D2026-06-01|V000008|2026-06-30|-139805.06|36599.12
D2026-01-01|V000009|2026-01-31|540753.23|540753.23
D2026-02-01|V000009|2026-02-28|234161.01|774914.24
D2026-03-01|V000009|2026-03-31|485811.53|1260725.77
D2026-04-01|V000009|2026-04-30|-500121.72|760604.05
D2026-05-01|V000009|2026-05-31|321829.84|1082433.89
D2026-06-01|V000009|2026-06-30|401373.07|1483806.96
D2026-01-01|V000010|2026-01-31|79196.25|79196.25
D2026-02-01|V000010|2026-02-28|174286.19|253482.44
D2026-03-01|V000010|2026-03-31|83825.72|337308.16
D2026-04-01|V000010|2026-04-30|310137.09|647445.25
D2026-05-01|V000010|2026-05-31|255142.37|902587.62
D2026-06-01|V000010|2026-06-30|101923.42|1004511.04
D2026-01-01|V000011|2026-01-31|0.00|0.00
D2026-02-01|V000011|2026-02-28|443963.44|443963.44
D2026-03-01|V000011|2026-03-31|516724.52|960687.96
D2026-04-01|V000011|2026-04-30|75313.20|1036001.16
D2026-05-01|V000011|2026-05-31|359535.99|1395537.15
D2026-06-01|V000011|2026-06-30|456269.98|1851807.13
D2026-01-01|V000012|2026-01-31|-575696.84|-575696.84
D2026-02-01|V000012|2026-02-28|201650.97|-374045.87
D2026-03-01|V000012|2026-03-31|71276.85|-302769.02
D2026-04-01|V000012|2026-04-30|434661.56|131892.54
D2026-05-01|V000012|2026-05-31|303818.05|435710.59
D2026-06-01|V000012|2026-06-30|0.00|435710.59
D2026-01-01|V000013|2026-01-31|0.00|0.00
D2026-02-01|V000013|2026-02-28|108520.99|108520.99
D2026-03-01|V000013|2026-03-31|322386.76|430907.75
D2026-04-01|V000013|2026-04-30|477783.50|908691.25
D2026-05-01|V000013|2026-05-31|451971.27|1360662.52
D2026-06-01|V000013|2026-06-30|230977.89|1591640.41
D2026-01-01|V000014|2026-01-31|-28870.57|-28870.57
D2026-02-01|V000014|2026-02-28|-5482.00|-34352.57
D2026-03-01|V000014|2026-03-31|-34241.65|-68594.22
D2026-04-01|V000014|2026-04-30|-9957.08|-78551.30
D2026-05-01|V000014|2026-05-31|0.00|-78551.30
D2026-06-01|V000014|2026-06-30|-26612.95|-105164.25
D2026-01-01|V000015|2026-01-31|136162.55|136162.55
D2026-02-01|V000015|2026-02-28|146639.13|282801.68
D2026-03-01|V000015|2026-03-31|240756.33|523558.01
D2026-04-01|V000015|2026-04-30|317210.99|840769.00
D2026-05-01|V000015|2026-05-31|-120647.02|720121.98
D2026-06-01|V000015|2026-06-30|141973.90|862095.88
D2026-01-01|V000016|2026-01-31|-464909.23|-464909.23
D2026-02-01|V000016|2026-02-28|627160.72|162251.49
D2026-03-01|V000016|2026-03-31|472392.56|634644.05
D2026-04-01|V000016|2026-04-30|584127.46|1218771.51
D2026-05-01|V000016|2026-05-31|545285.81|1764057.32
D2026-06-01|V000016|2026-06-30|496396.48|2260453.80
D2026-01-01|V000017|2026-01-31|175865.89|175865.89
D2026-02-01|V000017|2026-02-28|234331.62|410197.51
D2026-03-01|V000017|2026-03-31|108843.98|519041.49
D2026-04-01|V000017|2026-04-30|-171065.23|347976.26
D2026-05-01|V000017|2026-05-31|77410.07|425386.33
D2026-06-01|V000017|2026-06-30|42771.77|468158.10
D2026-01-01|V000018|2026-01-31|157991.40|157991.40
D2026-02-01|V000018|2026-02-28|-253550.14|-95558.74
D2026-03-01|V000018|2026-03-31|-276276.67|-371835.41
D2026-04-01|V000018|2026-04-30|168042.51|-203792.90
D2026-05-01|V000018|2026-05-31|202232.72|-1560.18
D2026-06-01|V000018|2026-06-30|295953.71|294393.53
D2026-01-01|V000019|2026-01-31|250997.66|250997.66
D2026-02-01|V000019|2026-02-28|340701.83|591699.49
D2026-03-01|V000019|2026-03-31|210864.06|802563.55
D2026-04-01|V000019|2026-04-30|112309.54|914873.09
D2026-05-01|V000019|2026-05-31|373616.56|1288489.65
D2026-06-01|V000019|2026-06-30|-146643.36|1141846.29
D2026-01-01|V000020|2026-01-31|189660.26|189660.26
D2026-02-01|V000020|2026-02-28|206399.11|396059.37
D2026-03-01|V000020|2026-03-31|264865.36|660924.73
D2026-04-01|V000020|2026-04-30|190639.92|851564.65
D2026-05-01|V000020|2026-05-31|177276.04|1028840.69
D2026-06-01|V000020|2026-06-30|263924.49|1292765.18
