map_id,acct_src_key,acct_src_raw,wm_src_sys_cd,eci_id,bus_dt,new_exst_adv_clnt_in
2026-06-30 00:00:00|WM1|1597,1597,000000000001597,WM1,ECI3157,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1604,1604,000000000001604,WM1,ECI3004,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1611,1611,000000000001611,WM1,ECI3011,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1618,1618,000000000001618,WM1,ECI3018,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1625,1625,000000000001625,WM1,ECI3025,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1632,1632,000000000001632,WM1,ECI3032,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1639,1639,000000000001639,WM1,ECI3039,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1646,1646,000000000001646,WM1,ECI3046,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1653,1653,000000000001653,WM1,ECI3053,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1660,1660,000000000001660,WM1,ECI3060,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1667,1667,000000000001667,WM1,ECI3067,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1674,1674,000000000001674,WM1,ECI3074,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1681,1681,000000000001681,WM1,ECI3081,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1688,1688,000000000001688,WM1,ECI3088,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1695,1695,000000000001695,WM1,ECI3095,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1702,1702,000000000001702,WM1,ECI3102,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1709,1709,000000000001709,WM1,ECI3109,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1716,1716,000000000001716,WM1,ECI3116,2026-06-30 00:00:00,E
2026-06-30 00:00:00|WM1|1723,1723,000000000001723,WM1,ECI3123,2026-06-30 00:00:00,E
