am_id,acct_key,advisor_sid,month_id,end_balance,credited_amt,txn_count,is_zero_balance,present_prior_month,prior_end_balance,prior_credited_amt
1597|V000001|202604,1597,V000001,202604,2040271.86,5905.63,4,false,false,0.00,0.00
1597|V000001|202605,1597,V000001,202605,2081077.30,59822.01,6,false,true,2040271.86,5905.63
1597|V000001|202606,1597,V000001,202606,2060674.58,4974.20,2,false,true,2081077.30,59822.01
1604|V000001|202604,1604,V000001,202604,2094020.76,732.78,1,false,false,0.00,0.00
1604|V000001|202605,1604,V000001,202605,2135901.18,6365.68,5,false,true,2094020.76,732.78
1604|V000001|202606,1604,V000001,202606,2114960.97,1857.42,1,false,true,2135901.18,6365.68
1611|V000001|202604,1611,V000001,202604,1502382.28,7970.52,5,false,false,0.00,0.00
1611|V000001|202605,1611,V000001,202605,1532429.93,3964.62,4,false,true,1502382.28,7970.52
1611|V000001|202606,1611,V000001,202606,1517406.10,991.00,1,false,true,1532429.93,3964.62
1618|V000001|202604,1618,V000001,202604,1696249.35,4421.85,4,false,false,0.00,0.00
1618|V000001|202605,1618,V000001,202605,1730174.33,5003.61,3,false,true,1696249.35,4421.85
1618|V000001|202606,1618,V000001,202606,1713211.84,2602.31,2,false,true,1730174.33,5003.61
1625|V000001|202604,1625,V000001,202604,215165.73,2272.34,1,false,false,0.00,0.00
1625|V000001|202605,1625,V000001,202605,219469.05,677.62,1,false,true,215165.73,2272.34
1625|V000001|202606,1625,V000001,202606,217317.39,4245.28,3,false,true,219469.05,677.62
1632|V000001|202604,1632,V000001,202604,752828.70,10534.57,6,false,false,0.00,0.00
1632|V000001|202605,1632,V000001,202605,767885.27,2567.19,2,false,true,752828.70,10534.57
1632|V000001|202606,1632,V000001,202606,760356.98,6286.86,6,false,true,767885.27,2567.19
1639|V000001|202604,1639,V000001,202604,633988.89,7468.80,5,false,false,0.00,0.00
1639|V000001|202605,1639,V000001,202605,646668.67,3050.66,3,false,true,633988.89,7468.80
1639|V000001|202606,1639,V000001,202606,640328.78,4974.83,3,false,true,646668.67,3050.66
1646|V000001|202604,1646,V000001,202604,2064723.79,9464.38,5,false,false,0.00,0.00
1646|V000001|202605,1646,V000001,202605,2106018.26,3949.45,4,false,true,2064723.79,9464.38
1646|V000001|202606,1646,V000001,202606,2085371.02,9899.70,7,false,true,2106018.26,3949.45
1653|V000001|202604,1653,V000001,202604,1070263.10,4076.89,3,false,false,0.00,0.00
1653|V000001|202605,1653,V000001,202605,1091668.36,5431.46,4,false,true,1070263.10,4076.89
1653|V000001|202606,1653,V000001,202606,1080965.73,4254.12,4,false,true,1091668.36,5431.46
1660|V000001|202604,1660,V000001,202604,1415078.95,4133.05,2,false,false,0.00,0.00
1660|V000001|202605,1660,V000001,202605,1443380.53,8492.45,6,false,true,1415078.95,4133.05
1660|V000001|202606,1660,V000001,202606,1429229.74,8404.60,7,false,true,1443380.53,8492.45
1667|V000002|202604,1667,V000002,202604,877182.04,1611.17,1,false,false,0.00,0.00
1667|V000002|202605,1667,V000002,202605,894725.68,9786.62,7,false,true,877182.04,1611.17
1667|V000002|202606,1667,V000002,202606,885953.86,1574.79,3,false,true,894725.68,9786.62
1674|V000002|202604,1674,V000002,202604,1668725.36,0.00,0,false,false,0.00,0.00
1674|V000002|202605,1674,V000002,202605,1702099.86,2770.41,2,false,true,1668725.36,0.00
1674|V000002|202606,1674,V000002,202606,1685412.61,2059.24,4,false,true,1702099.86,2770.41
1681|V000002|202604,1681,V000002,202604,1075265.44,4307.58,3,false,false,0.00,0.00
1681|V000002|202605,1681,V000002,202605,1096770.75,3285.44,2,false,true,1075265.44,4307.58
1681|V000002|202606,1681,V000002,202606,1086018.09,5932.38,4,false,true,1096770.75,3285.44
1688|V000002|202604,1688,V000002,202604,1970318.72,3803.35,3,false,false,0.00,0.00
1688|V000002|202605,1688,V000002,202605,2009725.10,3433.50,2,false,true,1970318.72,3803.35
1688|V000002|202606,1688,V000002,202606,1990021.91,3986.82,3,false,true,2009725.10,3433.50
1695|V000002|202604,1695,V000002,202604,1106698.38,5159.92,4,false,false,0.00,0.00
1695|V000002|202605,1695,V000002,202605,1128832.35,688.95,1,false,true,1106698.38,5159.92
1695|V000002|202606,1695,V000002,202606,1117765.37,4106.74,2,false,true,1128832.35,688.95
1702|V000002|202604,1702,V000002,202604,736573.61,1546.70,1,false,false,0.00,0.00
1702|V000002|202605,1702,V000002,202605,751305.08,3100.21,2,false,true,736573.61,1546.70
1702|V000002|202606,1702,V000002,202606,743939.35,0.00,0,false,true,751305.08,3100.21
1709|V000002|202604,1709,V000002,202604,272925.07,4234.48,4,false,false,0.00,0.00
1709|V000002|202605,1709,V000002,202605,278383.58,1870.88,1,false,true,272925.07,4234.48
1709|V000002|202606,1709,V000002,202606,275654.32,3938.67,3,false,true,278383.58,1870.88
1716|V000002|202604,1716,V000002,202604,1242387.13,8168.49,6,false,false,0.00,0.00
1716|V000002|202605,1716,V000002,202605,1267234.88,8197.74,5,false,true,1242387.13,8168.49
1716|V000002|202606,1716,V000002,202606,1254811.00,3838.89,2,false,true,1267234.88,8197.74
1723|V000002|202604,1723,V000002,202604,642633.44,3240.30,4,false,false,0.00,0.00
1723|V000002|202605,1723,V000002,202605,655486.11,3012.55,2,false,true,642633.44,3240.30
1723|V000002|202606,1723,V000002,202606,649059.77,1870.77,2,false,true,655486.11,3012.55
1730|V000002|202604,1730,V000002,202604,1581598.93,0.00,0,false,false,0.00,0.00
1730|V000002|202605,1730,V000002,202605,1613230.91,952.05,2,false,true,1581598.93,0.00
1730|V000002|202606,1730,V000002,202606,1597414.92,4110.36,3,false,true,1613230.91,952.05
3053|V000002|202604,3053,V000002,202604,252664.20,0.00,0,false,false,0.00,0.00
3053|V000002|202605,3053,V000002,202605,257717.49,1368.80,1,false,true,252664.20,0.00
3053|V000002|202606,3053,V000002,202606,255190.85,1165.45,1,false,true,257717.49,1368.80
3060|V000002|202604,3060,V000002,202604,1157181.78,0.00,0,false,false,0.00,0.00
3060|V000002|202605,3060,V000002,202605,1180325.42,1699.99,1,false,true,1157181.78,0.00
3060|V000002|202606,3060,V000002,202606,1168753.60,978.18,1,false,true,1180325.42,1699.99
3067|V000002|202604,3067,V000002,202604,647947.60,0.00,0,false,false,0.00,0.00
3067|V000002|202605,3067,V000002,202605,660906.56,1771.60,1,false,true,647947.60,0.00
3067|V000002|202606,3067,V000002,202606,654427.08,1569.85,1,false,true,660906.56,1771.60
3074|V000002|202604,3074,V000002,202604,2120149.45,0.00,0,false,false,0.00,0.00
3074|V000002|202605,3074,V000002,202605,2162552.43,1041.05,1,false,true,2120149.45,0.00
3074|V000002|202606,3074,V000002,202606,2141350.94,1308.12,1,false,true,2162552.43,1041.05
3081|V000002|202604,3081,V000002,202604,1356029.47,0.00,0,false,false,0.00,0.00
3081|V000002|202605,3081,V000002,202605,1383150.06,1536.13,1,false,true,1356029.47,0.00
3081|V000002|202606,3081,V000002,202606,1369589.77,1290.04,1,false,true,1383150.06,1536.13
3088|V000002|202604,3088,V000002,202604,1903992.01,0.00,0,false,false,0.00,0.00
3088|V000002|202605,3088,V000002,202605,1942071.85,1071.36,1,false,true,1903992.01,0.00
3088|V000002|202606,3088,V000002,202606,1923031.93,1754.26,1,false,true,1942071.85,1071.36
1737|V000003|202604,1737,V000003,202604,398210.15,9803.52,7,false,false,0.00,0.00
1737|V000003|202605,1737,V000003,202605,406174.35,7955.02,5,false,true,398210.15,9803.52
1737|V000003|202606,1737,V000003,202606,402192.25,2328.66,2,false,true,406174.35,7955.02
1744|V000003|202604,1744,V000003,202604,2328575.42,9523.90,6,false,false,0.00,0.00
1744|V000003|202605,1744,V000003,202605,2375146.92,5707.01,3,false,true,2328575.42,9523.90
1744|V000003|202606,1744,V000003,202606,2351861.17,5434.14,4,false,true,2375146.92,5707.01
1751|V000003|202604,1751,V000003,202604,1524190.65,3427.86,2,false,false,0.00,0.00
1751|V000003|202605,1751,V000003,202605,1554674.46,5349.25,5,false,true,1524190.65,3427.86
1751|V000003|202606,1751,V000003,202606,1539432.56,4139.15,2,false,true,1554674.46,5349.25
1758|V000003|202604,1758,V000003,202604,440734.50,6334.29,3,false,false,0.00,0.00
1758|V000003|202605,1758,V000003,202605,449549.19,6143.18,4,false,true,440734.50,6334.29
1758|V000003|202606,1758,V000003,202606,445141.85,2182.37,2,false,true,449549.19,6143.18
1765|V000003|202604,1765,V000003,202604,1364476.45,5938.69,4,false,false,0.00,0.00
1765|V000003|202605,1765,V000003,202605,1391765.98,1580.95,1,false,true,1364476.45,5938.69
1765|V000003|202606,1765,V000003,202606,1378121.21,5812.56,4,false,true,1391765.98,1580.95
1772|V000003|202604,1772,V000003,202604,2288126.77,5706.69,5,false,false,0.00,0.00
1772|V000003|202605,1772,V000003,202605,2333889.30,8958.16,6,false,true,2288126.77,5706.69
1772|V000003|202606,1772,V000003,202606,2311008.03,2974.48,4,false,true,2333889.30,8958.16
1779|V000003|202604,1779,V000003,202604,197514.81,2265.58,1,false,false,0.00,0.00
1779|V000003|202605,1779,V000003,202605,201465.11,4566.42,3,false,true,197514.81,2265.58
1779|V000003|202606,1779,V000003,202606,199489.96,3726.42,3,false,true,201465.11,4566.42
1786|V000003|202604,1786,V000003,202604,1003173.29,2762.42,3,false,false,0.00,0.00
1786|V000003|202605,1786,V000003,202605,1023236.75,6791.13,4,false,true,1003173.29,2762.42
1786|V000003|202606,1786,V000003,202606,1013205.02,2613.74,4,false,true,1023236.75,6791.13
1793|V000003|202604,1793,V000003,202604,1905975.43,2656.19,2,false,false,0.00,0.00
1793|V000003|202605,1793,V000003,202605,1944094.94,1046.20,1,false,true,1905975.43,2656.19
1793|V000003|202606,1793,V000003,202606,1925035.19,5608.98,3,false,true,1944094.94,1046.20
1800|V000003|202604,1800,V000003,202604,899898.18,2484.08,3,false,false,0.00,0.00
1800|V000003|202605,1800,V000003,202605,917896.14,4000.44,4,false,true,899898.18,2484.08
1800|V000003|202606,1800,V000003,202606,908897.16,9521.40,8,false,true,917896.14,4000.44
3095|V000003|202604,3095,V000003,202604,943576.43,0.00,0,false,false,0.00,0.00
3095|V000003|202605,3095,V000003,202605,962447.96,1023.19,1,false,true,943576.43,0.00
3095|V000003|202606,3095,V000003,202606,953012.19,1506.01,1,false,true,962447.96,1023.19
3102|V000003|202604,3102,V000003,202604,1873529.12,0.00,0,false,false,0.00,0.00
3102|V000003|202605,3102,V000003,202605,1910999.70,1336.06,1,false,true,1873529.12,0.00
3102|V000003|202606,3102,V000003,202606,1892264.41,1154.34,1,false,true,1910999.70,1336.06
3109|V000003|202604,3109,V000003,202604,292795.76,0.00,0,false,false,0.00,0.00
3109|V000003|202605,3109,V000003,202605,298651.67,902.88,1,false,true,292795.76,0.00
3109|V000003|202606,3109,V000003,202606,295723.71,1401.96,1,false,true,298651.67,902.88
3116|V000003|202604,3116,V000003,202604,260734.22,0.00,0,false,false,0.00,0.00
3116|V000003|202605,3116,V000003,202605,265948.90,1276.34,1,false,true,260734.22,0.00
3116|V000003|202606,3116,V000003,202606,263341.56,1242.26,1,false,true,265948.90,1276.34
3123|V000003|202604,3123,V000003,202604,623542.63,0.00,0,false,false,0.00,0.00
3123|V000003|202605,3123,V000003,202605,636013.49,1335.81,1,false,true,623542.63,0.00
3123|V000003|202606,3123,V000003,202606,629778.06,1690.10,1,false,true,636013.49,1335.81
1807|V000004|202604,1807,V000004,202604,1354813.49,7836.50,4,false,false,0.00,0.00
1807|V000004|202605,1807,V000004,202605,1381909.76,6619.69,5,false,true,1354813.49,7836.50
1807|V000004|202606,1807,V000004,202606,1368361.63,4609.07,3,false,true,1381909.76,6619.69
1814|V000004|202604,1814,V000004,202604,2366738.92,2677.88,2,false,false,0.00,0.00
1814|V000004|202605,1814,V000004,202605,2414073.70,8542.89,5,false,true,2366738.92,2677.88
1814|V000004|202606,1814,V000004,202606,2390406.31,1408.98,4,false,true,2414073.70,8542.89
1821|V000004|202604,1821,V000004,202604,2035835.37,3716.68,3,false,false,0.00,0.00
1821|V000004|202605,1821,V000004,202605,2076552.08,7675.97,5,false,true,2035835.37,3716.68
1821|V000004|202606,1821,V000004,202606,2056193.72,7396.14,4,false,true,2076552.08,7675.97
1828|V000004|202604,1828,V000004,202604,1039934.15,5687.60,5,false,false,0.00,0.00
1828|V000004|202605,1828,V000004,202605,1060732.83,4562.96,4,false,true,1039934.15,5687.60
1828|V000004|202606,1828,V000004,202606,1050333.49,4502.42,4,false,true,1060732.83,4562.96
1835|V000004|202604,1835,V000004,202604,1765096.14,3859.88,4,false,false,0.00,0.00
1835|V000004|202605,1835,V000004,202605,1800398.06,3714.09,2,false,true,1765096.14,3859.88
1835|V000004|202606,1835,V000004,202606,1782747.10,4786.44,3,false,true,1800398.06,3714.09
1842|V000004|202604,1842,V000004,202604,802921.84,9361.83,6,false,false,0.00,0.00
1842|V000004|202605,1842,V000004,202605,818980.28,2218.70,2,false,true,802921.84,9361.83
1842|V000004|202606,1842,V000004,202606,810951.06,2208.73,1,false,true,818980.28,2218.70
1849|V000004|202604,1849,V000004,202604,513159.40,6891.04,5,false,false,0.00,0.00
1849|V000004|202605,1849,V000004,202605,523422.59,4349.92,2,false,true,513159.40,6891.04
1849|V000004|202606,1849,V000004,202606,518290.99,2552.85,1,false,true,523422.59,4349.92
1856|V000004|202604,1856,V000004,202604,991229.89,6764.16,5,false,false,0.00,0.00
1856|V000004|202605,1856,V000004,202605,1011054.48,11114.14,6,false,true,991229.89,6764.16
1856|V000004|202606,1856,V000004,202606,1001142.18,9421.06,6,false,true,1011054.48,11114.14
1863|V000004|202604,1863,V000004,202604,1080139.38,2630.29,2,false,false,0.00,0.00
1863|V000004|202605,1863,V000004,202605,1101742.17,7823.40,5,false,true,1080139.38,2630.29
1863|V000004|202606,1863,V000004,202606,1090940.77,9827.18,9,false,true,1101742.17,7823.40
1870|V000004|202604,1870,V000004,202604,1394140.13,6709.79,4,false,false,0.00,0.00
1870|V000004|202605,1870,V000004,202605,1422022.94,7200.54,4,false,true,1394140.13,6709.79
1870|V000004|202606,1870,V000004,202606,1408081.53,8145.96,5,false,true,1422022.94,7200.54
1877|V000005|202604,1877,V000005,202604,709583.43,5992.60,5,false,false,0.00,0.00
1877|V000005|202605,1877,V000005,202605,723775.10,0.00,0,false,true,709583.43,5992.60
1877|V000005|202606,1877,V000005,202606,716679.27,860.44,1,false,true,723775.10,0.00
1884|V000005|202604,1884,V000005,202604,180692.00,7038.16,5,false,false,0.00,0.00
1884|V000005|202605,1884,V000005,202605,184305.84,3176.38,2,false,true,180692.00,7038.16
1884|V000005|202606,1884,V000005,202606,182498.92,3542.64,4,false,true,184305.84,3176.38
1891|V000005|202604,1891,V000005,202604,2052334.41,2435.84,1,false,false,0.00,0.00
1891|V000005|202605,1891,V000005,202605,2093381.10,6797.08,5,false,true,2052334.41,2435.84
1891|V000005|202606,1891,V000005,202606,2072857.76,3749.56,5,false,true,2093381.10,6797.08
1898|V000005|202604,1898,V000005,202604,1849024.08,0.00,0,false,false,0.00,0.00
1898|V000005|202605,1898,V000005,202605,1886004.56,1292.82,1,false,true,1849024.08,0.00
1898|V000005|202606,1898,V000005,202606,1867514.32,2043.49,3,false,true,1886004.56,1292.82
1905|V000005|202604,1905,V000005,202604,1334749.61,8217.75,5,false,false,0.00,0.00
1905|V000005|202605,1905,V000005,202605,1361444.60,6378.13,6,false,true,1334749.61,8217.75
1905|V000005|202606,1905,V000005,202606,1348097.11,3322.63,2,false,true,1361444.60,6378.13
1912|V000005|202604,1912,V000005,202604,1278373.47,4775.30,4,false,false,0.00,0.00
1912|V000005|202605,1912,V000005,202605,1303940.94,8420.96,6,false,true,1278373.47,4775.30
1912|V000005|202606,1912,V000005,202606,1291157.21,1654.81,1,false,true,1303940.94,8420.96
1919|V000005|202604,1919,V000005,202604,1930522.79,3112.19,2,false,false,0.00,0.00
1919|V000005|202605,1919,V000005,202605,1969133.24,1428.56,1,false,true,1930522.79,3112.19
1919|V000005|202606,1919,V000005,202606,1949828.02,5731.86,4,false,true,1969133.24,1428.56
1926|V000005|202604,1926,V000005,202604,245141.63,5001.29,3,false,false,0.00,0.00
1926|V000005|202605,1926,V000005,202605,250044.46,1412.31,2,false,true,245141.63,5001.29
1926|V000005|202606,1926,V000005,202606,247593.04,3073.78,2,false,true,250044.46,1412.31
1933|V000005|202604,1933,V000005,202604,786951.87,1645.00,2,false,false,0.00,0.00
1933|V000005|202605,1933,V000005,202605,802690.91,2909.02,3,false,true,786951.87,1645.00
1933|V000005|202606,1933,V000005,202606,794821.39,5047.17,4,false,true,802690.91,2909.02
