transfer_id,acct_key,from_advisor_sid,to_advisor_sid,from_rr,to_rr,transfer_ts,month_id,is_intra_team,occd_cd
OCC1|3053|R880001|1|20260414093000,3053,X900001,V000002,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3060|R880001|2|20260414093000,3060,X900001,V000002,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3067|R880001|3|20260414093000,3067,X900001,V000002,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3074|R880001|4|20260414093000,3074,X900001,V000002,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3081|R880001|5|20260414093000,3081,X900001,V000002,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3088|R880001|6|20260414093000,3088,X900001,V000002,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3095|R880001|7|20260414093000,3095,X900001,V000003,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3102|R880001|8|20260414093000,3102,X900001,V000003,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3109|R880001|9|20260414093000,3109,X900001,V000003,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3116|R880001|10|20260414093000,3116,X900001,V000003,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC1|3123|R880001|11|20260414093000,3123,X900001,V000003,R880001,R7000XX,2026-04-14 09:30:00,202604,false,OCC1
OCC2|1877|R700035|12|20260421110000,1877,V000005,X900002,R700035,R880002,2026-04-21 11:00:00,202604,false,OCC2
OCC2|1884|R700035|13|20260421110000,1884,V000005,X900002,R700035,R880002,2026-04-21 11:00:00,202604,false,OCC2
