afm_id,advisor_sid,month_id,flow_product_cd,flow_product_desc,comp_group_type,total_inflows,total_outflows,total_net_flows,credited_flows,departed_advisor_sid,departed_advisor_excl_am,lob_trfr_excl_am,oi_pa_referral_cap_adj_am,large_flow_cap_adj_am,forced_closure_excl_am
V000001|202604|MGDF,V000001,202604,MGDF,Managed Flows,NNM,186282.67,70750.87,115531.79,115531.79,,0.00,0.00,0.00,0.00,0.00
V000001|202604|BRKF,V000001,202604,BRKF,Brokerage Flows,NNM,188541.37,85778.46,102762.90,102762.90,,0.00,0.00,0.00,0.00,0.00
V000001|202605|MGDF,V000001,202605,MGDF,Managed Flows,NNM,225949.86,62878.95,163070.91,163070.91,,0.00,0.00,0.00,0.00,0.00
V000001|202605|BRKF,V000001,202605,BRKF,Brokerage Flows,NNM,220172.65,103820.13,116352.53,116352.53,,0.00,0.00,0.00,0.00,0.00
V000002|202604|MGDF,V000002,202604,MGDF,Managed Flows,NNM,275079.71,102776.71,172303.00,172303.00,,0.00,0.00,0.00,0.00,0.00
V000002|202604|BRKF,V000002,202604,BRKF,Brokerage Flows,NNM,253649.93,130883.79,122766.14,122766.14,,0.00,0.00,0.00,0.00,0.00
V000002|202605|MGDF,V000002,202605,MGDF,Managed Flows,NNM,209259.34,43881.10,165378.24,165378.24,,0.00,0.00,0.00,0.00,0.00
V000002|202605|BRKF,V000002,202605,BRKF,Brokerage Flows,NNM,296916.16,70809.29,226106.87,226106.87,,0.00,0.00,0.00,0.00,0.00
V000003|202604|MGDF,V000003,202604,MGDF,Managed Flows,NNM,119253.94,24100.57,95153.37,95153.37,,0.00,0.00,0.00,0.00,0.00
V000003|202604|BRKF,V000003,202604,BRKF,Brokerage Flows,NNM,154565.17,66048.48,88516.69,88516.69,,0.00,0.00,0.00,0.00,0.00
V000003|202605|MGDF,V000003,202605,MGDF,Managed Flows,NNM,159585.08,53665.99,105919.09,105919.09,,0.00,0.00,0.00,0.00,0.00
V000003|202605|BRKF,V000003,202605,BRKF,Brokerage Flows,NNM,149438.35,87137.12,62301.23,62301.23,,0.00,0.00,0.00,0.00,0.00
V000004|202604|MGDF,V000004,202604,MGDF,Managed Flows,NNM,548512.89,151419.60,397093.30,397093.30,,0.00,0.00,0.00,0.00,0.00
V000004|202604|BRKF,V000004,202604,BRKF,Brokerage Flows,NNM,478937.65,254330.40,224607.25,224607.25,,0.00,0.00,0.00,0.00,0.00
V000004|202605|MGDF,V000004,202605,MGDF,Managed Flows,NNM,542588.92,185887.75,356701.17,356701.17,,0.00,0.00,0.00,0.00,0.00
V000004|202605|BRKF,V000004,202605,BRKF,Brokerage Flows,NNM,629136.16,340594.59,288541.57,288541.57,,0.00,0.00,0.00,0.00,0.00
V000005|202604|MGDF,V000005,202604,MGDF,Managed Flows,NNM,570624.90,256888.64,313736.26,313736.26,,0.00,0.00,0.00,0.00,0.00
V000005|202604|BRKF,V000005,202604,BRKF,Brokerage Flows,NNM,672425.08,287569.96,384855.12,384855.12,,0.00,0.00,0.00,0.00,0.00
V000005|202605|MGDF,V000005,202605,MGDF,Managed Flows,NNM,497699.73,202513.39,295186.33,295186.33,,0.00,0.00,0.00,0.00,0.00
V000005|202605|BRKF,V000005,202605,BRKF,Brokerage Flows,NNM,491551.13,196367.25,295183.88,295183.88,,0.00,0.00,0.00,0.00,0.00
V000006|202604|MGDF,V000006,202604,MGDF,Managed Flows,NNM,152287.80,31830.74,120457.06,120457.06,,0.00,0.00,0.00,0.00,0.00
V000006|202604|BRKF,V000006,202604,BRKF,Brokerage Flows,NNM,169119.22,53434.67,115684.55,115684.55,,0.00,0.00,0.00,0.00,0.00
V000006|202605|MGDF,V000006,202605,MGDF,Managed Flows,NNM,169528.07,60380.91,109147.16,109147.16,,0.00,0.00,0.00,0.00,0.00
V000006|202605|BRKF,V000006,202605,BRKF,Brokerage Flows,NNM,141340.22,77592.53,63747.69,63747.69,,0.00,0.00,0.00,0.00,0.00
V000007|202604|MGDF,V000007,202604,MGDF,Managed Flows,NNM,193626.06,80116.56,113509.49,113509.49,,0.00,0.00,0.00,0.00,0.00
V000007|202604|BRKF,V000007,202604,BRKF,Brokerage Flows,NNM,189676.59,77218.08,112458.51,112458.51,,0.00,0.00,0.00,0.00,0.00
V000007|202605|MGDF,V000007,202605,MGDF,Managed Flows,NNM,220974.77,71793.76,149181.01,149181.01,,0.00,0.00,0.00,0.00,0.00
V000007|202605|BRKF,V000007,202605,BRKF,Brokerage Flows,NNM,221600.79,92712.59,128888.19,128888.19,,0.00,0.00,0.00,0.00,0.00
V000008|202604|MGDF,V000008,202604,MGDF,Managed Flows,NNM,2776136.04,1202369.52,1573766.52,1573766.52,,0.00,0.00,0.00,0.00,0.00
V000008|202604|BRKF,V000008,202604,BRKF,Brokerage Flows,NNM,2819449.81,1674678.67,1144771.14,1144771.14,,0.00,0.00,0.00,0.00,0.00
V000008|202605|MGDF,V000008,202605,MGDF,Managed Flows,NNM,2547102.72,542303.36,2004799.36,2004799.36,,0.00,0.00,0.00,0.00,0.00
V000008|202605|BRKF,V000008,202605,BRKF,Brokerage Flows,NNM,2324549.47,651349.23,1673200.24,1673200.24,,0.00,0.00,0.00,0.00,0.00
V000009|202604|MGDF,V000009,202604,MGDF,Managed Flows,NNM,523131.90,147362.76,375769.14,375769.14,,0.00,0.00,0.00,0.00,0.00
V000009|202604|BRKF,V000009,202604,BRKF,Brokerage Flows,NNM,715521.03,237441.12,478079.91,478079.91,,0.00,0.00,0.00,0.00,0.00
V000009|202605|MGDF,V000009,202605,MGDF,Managed Flows,NNM,700427.62,395691.05,304736.57,304736.57,,0.00,0.00,0.00,0.00,0.00
V000009|202605|BRKF,V000009,202605,BRKF,Brokerage Flows,NNM,523877.85,208200.61,315677.24,315677.24,,0.00,0.00,0.00,0.00,0.00
V000010|202604|MGDF,V000010,202604,MGDF,Managed Flows,NNM,602284.69,267414.82,334869.88,334869.88,,0.00,0.00,0.00,0.00,0.00
V000010|202604|BRKF,V000010,202604,BRKF,Brokerage Flows,NNM,665980.87,348304.66,317676.21,317676.21,,0.00,0.00,0.00,0.00,0.00
V000010|202605|MGDF,V000010,202605,MGDF,Managed Flows,NNM,551071.03,125812.40,425258.63,425258.63,,0.00,0.00,0.00,0.00,0.00
V000010|202605|BRKF,V000010,202605,BRKF,Brokerage Flows,NNM,567607.68,281372.07,286235.61,286235.61,,0.00,0.00,0.00,0.00,0.00
V000011|202604|MGDF,V000011,202604,MGDF,Managed Flows,NNM,761185.58,298010.70,463174.88,463174.88,,0.00,0.00,0.00,0.00,0.00
V000011|202604|BRKF,V000011,202604,BRKF,Brokerage Flows,NNM,561353.17,274688.02,286665.15,286665.15,,0.00,0.00,0.00,0.00,0.00
V000011|202605|MGDF,V000011,202605,MGDF,Managed Flows,NNM,554656.53,221107.55,333548.98,333548.98,,0.00,0.00,0.00,0.00,0.00
V000011|202605|BRKF,V000011,202605,BRKF,Brokerage Flows,NNM,586602.08,199505.17,387096.91,387096.91,,0.00,0.00,0.00,0.00,0.00
V000012|202604|MGDF,V000012,202604,MGDF,Managed Flows,NNM,441712.96,243198.29,198514.67,198514.67,,0.00,0.00,0.00,0.00,0.00
V000012|202604|BRKF,V000012,202604,BRKF,Brokerage Flows,NNM,353770.81,202533.30,151237.51,151237.51,,0.00,0.00,0.00,0.00,0.00
V000012|202605|MGDF,V000012,202605,MGDF,Managed Flows,NNM,321787.99,164990.04,156797.95,156797.95,,0.00,0.00,0.00,0.00,0.00
V000012|202605|BRKF,V000012,202605,BRKF,Brokerage Flows,NNM,348755.73,154587.91,194167.81,194167.81,,0.00,0.00,0.00,0.00,0.00
V000013|202604|MGDF,V000013,202604,MGDF,Managed Flows,NNM,365017.52,75645.48,289372.04,289372.04,,0.00,0.00,0.00,0.00,0.00
V000013|202604|BRKF,V000013,202604,BRKF,Brokerage Flows,NNM,337620.52,119804.61,217815.91,217815.91,,0.00,0.00,0.00,0.00,0.00
V000013|202605|MGDF,V000013,202605,MGDF,Managed Flows,NNM,323346.03,80867.21,242478.81,242478.81,,0.00,0.00,0.00,0.00,0.00
V000013|202605|BRKF,V000013,202605,BRKF,Brokerage Flows,NNM,367430.85,154254.07,213176.78,213176.78,,0.00,0.00,0.00,0.00,0.00
V000014|202604|MGDF,V000014,202604,MGDF,Managed Flows,NNM,158458.25,70713.78,87744.47,87744.47,,0.00,0.00,0.00,0.00,0.00
V000014|202604|BRKF,V000014,202604,BRKF,Brokerage Flows,NNM,217230.07,74013.68,143216.39,143216.39,,0.00,0.00,0.00,0.00,0.00
V000014|202605|MGDF,V000014,202605,MGDF,Managed Flows,NNM,175301.65,99435.91,75865.75,75865.75,,0.00,0.00,0.00,0.00,0.00
V000014|202605|BRKF,V000014,202605,BRKF,Brokerage Flows,NNM,167449.38,39651.40,127797.98,127797.98,,0.00,0.00,0.00,0.00,0.00
V000015|202604|MGDF,V000015,202604,MGDF,Managed Flows,NNM,121453.25,60851.43,60601.82,60601.82,,0.00,0.00,0.00,0.00,0.00
V000015|202604|BRKF,V000015,202604,BRKF,Brokerage Flows,NNM,141317.57,58574.30,82743.27,82743.27,,0.00,0.00,0.00,0.00,0.00
V000015|202605|MGDF,V000015,202605,MGDF,Managed Flows,NNM,102967.20,53615.73,49351.48,49351.48,,0.00,0.00,0.00,0.00,0.00
V000015|202605|BRKF,V000015,202605,BRKF,Brokerage Flows,NNM,144615.33,43380.11,101235.22,101235.22,,0.00,0.00,0.00,0.00,0.00
V000016|202604|MGDF,V000016,202604,MGDF,Managed Flows,NNM,125861.11,47251.07,78610.03,78610.03,,0.00,0.00,0.00,0.00,0.00
V000016|202604|BRKF,V000016,202604,BRKF,Brokerage Flows,NNM,139688.04,45489.46,94198.58,94198.58,,0.00,0.00,0.00,0.00,0.00
V000016|202605|MGDF,V000016,202605,MGDF,Managed Flows,NNM,159260.07,88575.66,70684.42,70684.42,,0.00,0.00,0.00,0.00,0.00
