nnm_id,advisor_sid,month_id,category,category_source,mtd_nnm,ytd_nnm,entry_dt,as_of_dt
V000001|202601|EC,V000001,202601,EC,ECNNM,1188949.91,1188949.91,2026-01-01 00:00:00,2026-06-30 00:00:00
V000001|202602|EC,V000001,202602,EC,ECNNM,-455190.04,733759.87,2026-02-01 00:00:00,2026-06-30 00:00:00
V000001|202603|EC,V000001,202603,EC,ECNNM,246324.05,980083.92,2026-03-01 00:00:00,2026-06-30 00:00:00
V000001|202604|EC,V000001,202604,EC,ECNNM,1258539.66,2238623.58,2026-04-01 00:00:00,2026-06-30 00:00:00
V000001|202605|EC,V000001,202605,EC,ECNNM,268783.66,2507407.24,2026-05-01 00:00:00,2026-06-30 00:00:00
V000001|202606|EC,V000001,202606,EC,ECNNM,1186381.75,3693788.99,2026-06-01 00:00:00,2026-06-30 00:00:00
V000002|202601|EC,V000002,202601,EC,ECNNM,983051.74,983051.74,2026-01-01 00:00:00,2026-06-30 00:00:00
V000002|202602|EC,V000002,202602,EC,ECNNM,1162374.09,2145425.83,2026-02-01 00:00:00,2026-06-30 00:00:00
V000002|202603|EC,V000002,202603,EC,ECNNM,2709493.15,4854918.98,2026-03-01 00:00:00,2026-06-30 00:00:00
V000002|202604|EC,V000002,202604,EC,ECNNM,1128199.01,5983117.99,2026-04-01 00:00:00,2026-06-30 00:00:00
V000002|202605|EC,V000002,202605,EC,ECNNM,725651.66,6708769.65,2026-05-01 00:00:00,2026-06-30 00:00:00
V000002|202606|EC,V000002,202606,EC,ECNNM,0.00,6708769.65,2026-06-01 00:00:00,2026-06-30 00:00:00
V000003|202601|EC,V000003,202601,EC,ECNNM,390289.35,390289.35,2026-01-01 00:00:00,2026-06-30 00:00:00
V000003|202602|EC,V000003,202602,EC,ECNNM,423279.79,813569.14,2026-02-01 00:00:00,2026-06-30 00:00:00
V000003|202603|EC,V000003,202603,EC,ECNNM,567526.71,1381095.85,2026-03-01 00:00:00,2026-06-30 00:00:00
V000003|202604|EC,V000003,202604,EC,ECNNM,88538.23,1469634.08,2026-04-01 00:00:00,2026-06-30 00:00:00
V000003|202605|EC,V000003,202605,EC,ECNNM,-400592.50,1069041.58,2026-05-01 00:00:00,2026-06-30 00:00:00
V000003|202606|EC,V000003,202606,EC,ECNNM,563047.61,1632089.19,2026-06-01 00:00:00,2026-06-30 00:00:00
V000004|202601|EC,V000004,202601,EC,ECNNM,3290648.89,3290648.89,2026-01-01 00:00:00,2026-06-30 00:00:00
V000004|202602|EC,V000004,202602,EC,ECNNM,2081205.25,5371854.14,2026-02-01 00:00:00,2026-06-30 00:00:00
V000004|202603|EC,V000004,202603,EC,ECNNM,1219340.35,6591194.49,2026-03-01 00:00:00,2026-06-30 00:00:00
V000004|202604|EC,V000004,202604,EC,ECNNM,2119753.48,8710947.97,2026-04-01 00:00:00,2026-06-30 00:00:00
V000004|202605|EC,V000004,202605,EC,ECNNM,438629.73,9149577.70,2026-05-01 00:00:00,2026-06-30 00:00:00
V000004|202606|EC,V000004,202606,EC,ECNNM,1920541.79,11070119.49,2026-06-01 00:00:00,2026-06-30 00:00:00
V000005|202601|EC,V000005,202601,EC,ECNNM,894198.50,894198.50,2026-01-01 00:00:00,2026-06-30 00:00:00
V000005|202602|EC,V000005,202602,EC,ECNNM,919851.28,1814049.78,2026-02-01 00:00:00,2026-06-30 00:00:00
V000005|202603|EC,V000005,202603,EC,ECNNM,1139685.04,2953734.82,2026-03-01 00:00:00,2026-06-30 00:00:00
V000005|202604|EC,V000005,202604,EC,ECNNM,734089.51,3687824.33,2026-04-01 00:00:00,2026-06-30 00:00:00
V000005|202605|EC,V000005,202605,EC,ECNNM,1763311.72,5451136.05,2026-05-01 00:00:00,2026-06-30 00:00:00
V000005|202606|EC,V000005,202606,EC,ECNNM,1803974.67,7255110.72,2026-06-01 00:00:00,2026-06-30 00:00:00
V000006|202601|EC,V000006,202601,EC,ECNNM,1219363.82,1219363.82,2026-01-01 00:00:00,2026-06-30 00:00:00
V000006|202602|EC,V000006,202602,EC,ECNNM,315923.76,1535287.58,2026-02-01 00:00:00,2026-06-30 00:00:00
V000006|202603|EC,V000006,202603,EC,ECNNM,957943.30,2493230.88,2026-03-01 00:00:00,2026-06-30 00:00:00
V000006|202604|EC,V000006,202604,EC,ECNNM,1215866.08,3709096.96,2026-04-01 00:00:00,2026-06-30 00:00:00
V000006|202605|EC,V000006,202605,EC,ECNNM,1943898.38,5652995.34,2026-05-01 00:00:00,2026-06-30 00:00:00
V000006|202606|EC,V000006,202606,EC,ECNNM,847129.45,6500124.79,2026-06-01 00:00:00,2026-06-30 00:00:00
V000007|202601|EC,V000007,202601,EC,ECNNM,2372635.85,2372635.85,2026-01-01 00:00:00,2026-06-30 00:00:00
