eci_id,account_count
ECI3000,1
ECI3001,1
ECI3002,1
ECI3003,1
ECI3004,2
ECI3005,2
ECI3006,2
ECI3007,1
ECI3008,1
ECI3009,1
ECI3010,1
ECI3011,2
ECI3012,2
ECI3013,2
ECI3014,1
ECI3015,1
ECI3016,1
ECI3017,1
ECI3018,2
ECI3019,2
ECI3020,2
ECI3021,1
ECI3022,1
ECI3023,1
ECI3024,1
ECI3025,2
ECI3026,2
ECI3027,2
ECI3028,1
ECI3029,1
ECI3030,1
ECI3031,1
ECI3032,2
ECI3033,2
ECI3034,2
ECI3035,1
ECI3036,1
ECI3037,1
ECI3038,1
ECI3039,2
ECI3040,2
ECI3041,2
ECI3042,1
ECI3043,1
ECI3044,1
ECI3045,1
ECI3046,2
ECI3047,2
ECI3048,2
ECI3049,1
ECI3050,1
ECI3051,1
ECI3052,1
ECI3053,2
ECI3054,2
ECI3055,2
ECI3056,1
ECI3057,1
ECI3058,1
ECI3059,1
ECI3060,2
ECI3061,2
ECI3062,2
ECI3063,1
ECI3064,1
ECI3065,1
ECI3066,1
ECI3067,2
ECI3068,2
ECI3069,2
ECI3070,1
ECI3071,1
ECI3072,1
ECI3073,1
ECI3074,2
ECI3075,2
ECI3076,2
ECI3077,1
ECI3078,1
ECI3079,1
ECI3080,1
ECI3081,2
ECI3082,2
ECI3083,2
ECI3084,1
ECI3085,1
ECI3086,1
ECI3087,1
ECI3088,2
ECI3089,2
ECI3090,1
ECI3091,1
ECI3092,1
ECI3093,1
ECI3094,1
ECI3095,2
ECI3096,2
ECI3097,1
ECI3098,1
ECI3099,1
ECI3100,1
ECI3101,1
ECI3102,2
ECI3103,2
ECI3104,1
ECI3105,1
ECI3106,1
ECI3107,1
ECI3108,1
ECI3109,2
ECI3110,2
ECI3111,1
ECI3112,1
ECI3113,1
ECI3114,1
ECI3115,1
ECI3116,2
ECI3117,2
ECI3118,1
ECI3119,1
ECI3120,1
ECI3121,1
ECI3122,1
ECI3123,2
ECI3124,2
ECI3125,1
ECI3126,1
ECI3127,1
ECI3128,1
ECI3129,1
ECI3130,2
ECI3131,2
ECI3132,1
ECI3133,1
ECI3134,1
ECI3135,1
ECI3136,1
ECI3137,2
ECI3138,2
ECI3139,1
ECI3140,1
ECI3141,1
ECI3142,1
ECI3143,1
ECI3144,2
ECI3145,2
ECI3146,1
ECI3147,1
ECI3148,1
ECI3149,1
ECI3150,1
ECI3151,2
ECI3152,2
ECI3153,1
ECI3154,1
ECI3155,1
ECI3156,1
ECI3157,2
ECI3158,2
ECI3159,2
ECI9001,0
ECI9002,0
ECI9003,0
ECI9005,0
ECI9006,0
ECI9008,0
ECI9010,0
ECI9012,0
ECI9013,0
ECI9016,0
ECI9018,0
ECI9019,0
ECI9021,0
ECI9022,0
ECI9023,0
ECI9026,0
ECI9027,0
ECI9028,0
ECI9030,0
ECI9031,0
ECI9032,0
ECI9036,0
ECI9038,0
ECI9040,0
ECI9041,0
ECI9042,0
ECI9043,0
ECI9044,0
ECI9045,0
ECI9047,0
ECI9048,0
ECI9049,0
ECI9050,0
ECI9054,0
ECI9056,0
ECI9057,0
ECI9058,0
ECI9059,0
ECI9061,0
ECI9063,0
ECI9064,0
ECI9065,0
ECI9066,0
ECI9067,0
ECI9068,0
ECI9069,0
ECI9071,0
ECI9072,0
ECI9073,0
ECI9074,0
ECI9075,0
ECI9076,0
ECI9077,0
ECI9078,0
ECI9081,0
ECI9082,0
ECI9086,0
ECI9087,0
ECI9089,0
