mr_id,advisor_sid,month_id,product_id,group_id,class_id,credited_amt,non_credited_amt,txn_count,distinct_accounts
V000001|202604|529T|,V000001,202604,529T|,plans_529,RECURRING,4307.5,0.0,2,2
V000001|202604|ATMF|,V000001,202604,ATMF|,trails_mutual_funds,RECURRING,2622.25,0.0,2,2
V000001|202604|DAF|,V000001,202604,DAF|,donor_advised_funds,RECURRING,2107.73,0.0,2,2
V000001|202604|DCCR|,V000001,202604,DCCR|,defined_contribution_advisory,NON_RECURRING,2317.72,0.0,2,2
V000001|202604|EDK|,V000001,202604,EDK|,referrals_everyday_401k,NON_RECURRING,1101.1,0.0,2,2
V000001|202604|FCCD|,V000001,202604,FCCD|,twhs_cash_mgmt_cds,NON_RECURRING,3777.17,0.0,2,1
V000001|202604|FGXX|,V000001,202604,FGXX|,twhs_fi_government,NON_RECURRING,3190.37,0.0,2,2
V000001|202604|FIX|,V000001,202604,FIX|,life_annuities,NON_RECURRING,3882.44,0.0,2,1
V000001|202604|ITMF|,V000001,202604,ITMF|,trails_life_annuities,RECURRING,2990.97,0.0,2,2
V000001|202604|JPMC|,V000001,202604,JPMC|,managed_accounts,RECURRING,2619.64,0.0,2,2
V000001|202604|LEND|MGN,V000001,202604,LEND|MGN,lending_margin,NON_RECURRING,4508.35,0.0,2,2
V000001|202604|LIFE|,V000001,202604,LIFE|,life_annuities,NON_RECURRING,4737.34,0.0,2,2
V000001|202604|MAP|,V000001,202604,MAP|,managed_accounts,RECURRING,2768.57,0.0,2,2
V000001|202604|MMKT|,V000001,202604,MMKT|,cash_mgmt_mmkt,RECURRING,4367.16,0.0,2,1
V000001|202604|MUFD|,V000001,202604,MUFD|,twhs_mutual_funds,NON_RECURRING,2135.39,0.0,2,2
V000001|202604|OIS1|,V000001,202604,OIS1|,managed_accounts,RECURRING,2818.58,0.0,2,2
V000001|202604|OISC|,V000001,202604,OISC|,managed_accounts,RECURRING,3562.66,0.0,2,2
V000001|202604|STRT|,V000001,202604,STRT|,twhs_structured,NON_RECURRING,3165.87,0.0,2,2
V000001|202605|529T|,V000001,202605,529T|,plans_529,RECURRING,955.84,1651.94,2,2
V000001|202605|ATMF|,V000001,202605,ATMF|,trails_mutual_funds,RECURRING,2223.14,0.0,2,2
V000001|202605|DAF|,V000001,202605,DAF|,donor_advised_funds,RECURRING,1676.68,0.0,2,2
V000001|202605|DCCR|,V000001,202605,DCCR|,defined_contribution_advisory,NON_RECURRING,3411.52,0.0,2,2
V000001|202605|EDK|,V000001,202605,EDK|,referrals_everyday_401k,NON_RECURRING,2254.92,0.0,2,2
V000001|202605|FCCD|,V000001,202605,FCCD|,twhs_cash_mgmt_cds,NON_RECURRING,1691.27,0.0,2,2
V000001|202605|FGXX|,V000001,202605,FGXX|,twhs_fi_government,NON_RECURRING,2231.03,0.0,2,2
