opportunity_id,eci_id,advisor_sid,advisor_sid_raw,advisor_valid,account_record_type,product_service_type,stage_name,stage_group,amount,actual_assets,anticipated_investment_dt,created_dt,last_modified_dt,date_of_last_contact,days_to_close,is_stalled,comments,ai_read,ai_read_confidence,ai_read_evidence,ai_read_model,data_source
OPP00001,ECI3004,V000001,V000001,true,Business_Prospect,,Funding,CLOSING,506753.24,2179952.67,2026-07-11 00:00:00,2026-04-03 00:00:00,2026-06-18 00:00:00,2026-05-11 00:00:00,279,false,,,,,,CRM
OPP00002,ECI3011,V000001,V000001,true,PersonAccount,,Qualified Prospect,EARLY,1800057.60,0.00,2026-09-23 00:00:00,2026-03-07 00:00:00,2026-05-03 00:00:00,2026-06-06 00:00:00,14,false,"client verbally committed, paperwork next week","Verbal commitment, paperwork pending",0.92,"client verbally committed, paperwork next week",claude-haiku-4-5-20251001,CRM
OPP00003,ECI3018,V000001,V000001,true,IndustriesHousehold,,Proposal Generated,LATE,0.00,0.00,2026-09-18 00:00:00,2026-04-02 00:00:00,2026-05-22 00:00:00,2026-03-17 00:00:00,327,false,client travelling,,,,claude-haiku-4-5-20251001,CRM
OPP00004,ECI3025,V000001,V000001,true,Strategic_Household,,Proposal,LATE,771759.31,0.00,2026-09-28 00:00:00,2026-02-24 00:00:00,2026-05-07 00:00:00,2026-05-17 00:00:00,298,false,reviewing with spouse,,,,claude-haiku-4-5-20251001,CRM
OPP00005,ECI3013,V000002,V000002,true,Strategic_Household,,Verbal Commitment,LATE,0.00,2571562.90,2026-07-02 00:00:00,2026-04-24 00:00:00,2026-05-03 00:00:00,2026-06-22 00:00:00,-172,true,sent brochure,Brochure sent to prospect,0.85,sent brochure,claude-haiku-4-5-20251001,CRM
OPP00006,ECI3020,V000002,V000002,true,PersonAccount,,Proposal,LATE,954770.62,2559071.16,2026-07-05 00:00:00,2026-03-25 00:00:00,2026-06-06 00:00:00,2026-03-26 00:00:00,299,false,not moving forward this year,Opportunity stalled until next year,0.95,not moving forward this year,claude-haiku-4-5-20251001,CRM
OPP00007,ECI3027,V000002,V000002,true,Prospect,,Verbal Commitment,LATE,896135.22,1842537.32,2026-09-13 00:00:00,2026-03-22 00:00:00,2026-05-09 00:00:00,2026-05-01 00:00:00,330,false,"Opened a CD 4 months, we will review his situation in 4 months","CD opened, review in 4 months",0.85,"Opened a CD 4 months, we will review his situation in 4 months",claude-haiku-4-5-20251001,CRM
OPP00008,ECI3005,V000003,V000003,true,IndustriesHousehold,,Opportunity Identified,EARLY,371690.12,0.00,2026-09-15 00:00:00,2026-04-03 00:00:00,2026-05-08 00:00:00,2026-05-26 00:00:00,103,false,new acct opened,Account opened,0.95,new acct opened,claude-haiku-4-5-20251001,CRM
OPP00009,ECI3012,V000003,V000003,true,PersonAccount,,Onboarding,CLOSING,0.00,562357.75,2026-08-26 00:00:00,2026-04-11 00:00:00,2026-05-12 00:00:00,2026-04-12 00:00:00,45,false,follow up next week,,,,claude-haiku-4-5-20251001,CRM
OPP00010,ECI3019,V000003,V000003_CWM_INVALID,false,IndustriesBusiness,,Qualified Prospect,EARLY,1880311.93,0.00,2026-08-28 00:00:00,2026-04-15 00:00:00,2026-06-10 00:00:00,2026-05-02 00:00:00,146,false,Awaiting application process,Awaiting application process,0.95,Awaiting application process,claude-haiku-4-5-20251001,CRM
