txn_id,trade_ref_no,split_seq_no,advisor_sid,acct_key,product_id,month_id,trade_dt,proc_dt,days_to_process,credited_amt,non_credited_amt,firm_credited_amt,advisor_credited_amt,pre_split_amt,split_pct,reason_cd,is_credited,standard_rate_bps,client_rate_bps,discount_amt,eff_disc_pct,grid_reduction,rpg,concession_type,file_key,trade_description
100001|1|V000001,100001,1,V000001,1597,OIS1|,202604,2026-04-15 00:00:00,2026-04-15 00:00:00,5,2039.21,0.00,2039.21,2039.21,2399.07,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG000,STD,daily_trade_details,Managed Accounts — OIS1
100002|1|V000001,100002,1,V000001,1639,OIS1|,202604,2026-04-08 00:00:00,2026-04-08 00:00:00,4,1523.45,0.00,1523.45,1523.45,1792.29,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,,STD,daily_trade_details,Managed Accounts — OIS1
100003|1|V000001,100003,1,V000001,1632,JPMC|,202604,2026-04-29 00:00:00,2026-04-29 00:00:00,1,656.78,0.00,656.78,656.78,772.68,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG005,STD,daily_trade_details,Managed Accounts — JPMC
100004|1|V000001,100004,1,V000001,1597,JPMC|,202604,2026-04-25 00:00:00,2026-04-25 00:00:00,1,2161.80,0.00,2161.80,2161.80,2543.29,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG000,STD,daily_trade_details,Managed Accounts — JPMC
100005|1|V000001,100005,1,V000001,1618,MAP|,202604,2026-04-02 00:00:00,2026-04-02 00:00:00,4,773.99,0.00,773.99,773.99,910.57,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,,STD,daily_trade_details,Managed Accounts — MAP
100006|1|V000001,100006,1,V000001,1660,MAP|,202604,2026-04-08 00:00:00,2026-04-08 00:00:00,1,1845.65,0.00,1845.65,1845.65,2171.36,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,,STD,daily_trade_details,Managed Accounts — MAP
100007|1|V000001,100007,1,V000001,1639,ITMF|,202604,2026-04-25 00:00:00,2026-04-25 00:00:00,1,1309.61,0.00,1309.61,1309.61,1540.72,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,,STD,daily_trade_details,Trails – Life & Annuities — ITMF
100008|1|V000001,100008,1,V000001,1611,ITMF|,202604,2026-04-27 00:00:00,2026-04-27 00:00:00,5,1458.96,0.00,1458.96,1458.96,1716.42,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG002,STD,daily_trade_details,Trails – Life & Annuities — ITMF
100009|1|V000001,100009,1,V000001,1632,MMKT|,202604,2026-04-27 00:00:00,2026-04-27 00:00:00,3,1628.19,0.00,1628.19,1628.19,1915.52,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG005,STD,daily_trade_details,Cash Management – Money Market Funds
100010|1|V000001,100010,1,V000001,1618,MMKT|,202604,2026-04-22 00:00:00,2026-04-22 00:00:00,5,994.06,0.00,994.06,994.06,1169.48,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,,STD,daily_trade_details,Cash Management – Money Market Funds
100011|1|V000001,100011,1,V000001,1618,PRDP|,202604,2026-04-18 00:00:00,2026-04-18 00:00:00,5,1251.19,0.00,1251.19,1251.19,1471.99,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,,STD,daily_trade_details,Cash Management – Premium Deposits
100012|1|V000001,100012,1,V000001,1611,PRDP|,202604,2026-04-16 00:00:00,2026-04-16 00:00:00,1,1739.78,0.00,1739.78,1739.78,2046.80,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG002,STD,daily_trade_details,Cash Management – Premium Deposits
100013|1|V000001,100013,1,V000001,1632,PCS|,202604,2026-04-26 00:00:00,2026-04-26 00:00:00,5,2465.65,0.00,2465.65,2465.65,2900.76,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG005,STD,daily_trade_details,Referrals & Revenue Share – Situational Partnership
100014|1|V000001,100014,1,V000001,1632,PCS|,202604,2026-04-10 00:00:00,2026-04-10 00:00:00,4,1901.51,0.00,1901.51,1901.51,2237.07,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG005,STD,daily_trade_details,Referrals & Revenue Share – Situational Partnership
100015|1|V000001,100015,1,V000001,1611,529T|,202604,2026-04-28 00:00:00,2026-04-28 00:00:00,2,2035.16,0.00,2035.16,2035.16,2394.30,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG002,STD,daily_trade_details,529 Plans
100016|1|V000001,100016,1,V000001,1625,529T|,202604,2026-04-15 00:00:00,2026-04-15 00:00:00,1,2272.34,0.00,2272.34,2272.34,2673.35,0.85,__NONE__,true,0.00,0.00,0.00,0.0,0.00,RPG004,STD,daily_trade_details,529 Plans
