advisor_sid,scenario_flags
V000001,syndicate_one_off
V000002,transfer_in;fee_reduction;team_agreement
V000003,transfer_in;fee_reduction
V000004,team_agreement_primary
V000005,transfer_out
V000006,team_agreement_secondary;unmapped_product
V000007,team_agreement_primary
V000008,nnm_above_4mm
V000009,fee_reduction_recorded
V000010,
V000011,fee_reduction_unrecorded
V000012,
V000013,accounts_zeroed
V000014,accounts_zeroed
V000015,blank_name
V000016,
V000017,quiet
V000018,quiet
V000019,quiet
V000020,quiet
